,TI,AB,CARP (Yes/No),Exact/Lower-Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source
"FADZLI M, 2015, INTERNATIONAL CONFERENCE ON MATHEMATICS, ENGINEERING AND INDUSTRIAL APPLICATIONS 2014 (ICOMEIA 2014)-a",GENERAL HEURISTICS ALGORITHMS FOR SOLVING CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER, WE TRY TO DETERMINE THE NEAR-OPTIMUM SOLUTION FOR THE CAPACITATED ARC ROUTING PROBLEM (CARP). IN GENERAL, NP-HARD CARP IS A SPECIAL GRAPH THEORY SPECIFICALLY ARISES FROM STREET SERVICES SUCH AS RESIDENTIAL WASTE COLLECTION AND ROAD MAINTENANCE. BY PURPOSE, THE DESIGN OF THE CARP MODEL AND ITS SOLUTION TECHNIQUES IS TO FIND OPTIMUM (OR NEAR-OPTIMUM) ROUTING COST FOR A FLEET OF VEHICLES INVOLVED IN OPERATION. IN OTHER WORDS, FINDING MINIMUM-COST ROUTING IS COMPULSORY IN ORDER TO REDUCE OVERALL OPERATION COST THAT RELATED WITH VEHICLES. IN THIS ARTICLE, WE PROVIDE A COMBINATION OF VARIOUS HEURISTICS ALGORITHM TO SOLVE A REAL CASE OF CARP IN WASTE COLLECTION AND BENCHMARK INSTANCES. THESE HEURISTICS WORK AS A CENTRAL ENGINE IN FINDING INITIAL SOLUTIONS OR NEAR-OPTIMUM IN SEARCH SPACE WITHOUT VIOLATING THE PRE-SETTING CONSTRAINTS. THE RESULTS CLEARLY SHOW THAT THESE HEURISTICS ALGORITHMS COULD PROVIDE GOOD INITIAL SOLUTIONS IN BOTH REAL-LIFE AND BENCHMARK INSTANCES.",0,1,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"FENG L, 2019, EVOLUTIONARY AND SWARM INTELLIGENCE ALGORITHMS",GENETIC ALGORITHM AND ITS ADVANCES IN EMBRACING MEMETICS,"A GENETIC ALGORITHM (GA) IS A STOCHASTIC SEARCH METHOD THAT HAS BEEN APPLIED SUCCESSFULLY FOR SOLVING A VARIETY OF ENGINEERING OPTIMIZATION PROBLEMS WHICH ARE OTHERWISE DIFFICULT TO SOLVE USING CLASSICAL, DETERMINISTIC TECHNIQUES. GAS ARE EASIER TO IMPLEMENT AS COMPARED TO MANY CLASSICAL METHODS, AND HAVE THUS ATTRACTED EXTENSIVE ATTENTION OVER THE LAST FEW DECADES. HOWEVER, THE INHERENT RANDOMNESS OF THESE ALGORITHMS OFTEN HINDERS CONVERGENCE TO THE EXACT GLOBAL OPTIMUM. IN ORDER TO ENHANCE THEIR SEARCH CAPABILITY, LEARNING VIA MEMETICS CAN BE INCORPORATED AS AN EXTRA STEP IN THE GENETIC SEARCH PROCEDURE. THIS IDEA HAS BEEN INVESTIGATED IN THE LITERATURE, SHOWING SIGNIFICANT PERFORMANCE IMPROVEMENT. IN THIS CHAPTER, TWO RESEARCH WORKS THAT INCORPORATE MEMES IN DISTINCTLY DIFFERENT REPRESENTATIONS, ARE PRESENTED. IN PARTICULAR, THE FIRST WORK CONSIDERS MEME AS A LOCAL SEARCH PROCESS, OR AN INDIVIDUAL LEARNING PROCEDURE, THE INTENSITY OF WHICH IS GOVERNED BY A THEORETICALLY DERIVED UPPER BOUND. THE SECOND WORK TREATS MEME AS A BUILDING-BLOCK OF STRUCTURED KNOWLEDGE, ONE THAT CAN BE LEARNED AND TRANSFERRED ACROSS PROBLEM INSTANCES FOR EFFICIENT AND EFFECTIVE SEARCH. IN ORDER TO SHOWCASE THE ENHANCEMENTS ACHIEVED BY INCORPORATING LEARNING VIA MEMETICS INTO GENETIC SEARCH, CASE STUDIES ON SOLVING THE NP-HARD CAPACITATED ARC ROUTING PROBLEM ARE PRESENTED. MOREOVER, THE APPLICATION OF THE SECOND MEME REPRESENTATION CONCEPT TO THE EMERGING FIELD OF EVOLUTIONARY BILEVEL OPTIMIZATION IS BRIEFLY DISCUSSED.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"USBERTI FL, 2013, COMPUT OPER RES",GRASP WITH EVOLUTIONARY PATH-RELINKING FOR THE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A WELL-KNOWN NP-HARD COMBINATORIAL OPTIMIZATION PROBLEM WHERE, GIVEN AN UNDIRECTED GRAPH, THE OBJECTIVE IS TO FIND A MINIMUM COST SET OF TOURS SERVICING A SUBSET OF REQUIRED EDGES UNDER VEHICLE CAPACITY CONSTRAINTS. THERE ARE NUMEROUS APPLICATIONS FOR THE CARP, SUCH AS STREET SWEEPING, GARBAGE COLLECTION, MAIL DELIVERY, SCHOOL BUS ROUTING, AND METER READING. A GREEDY RANDOMIZED ADAPTIVE SEARCH PROCEDURE (GRASP) WITH PATH-RELINKING (PR) IS PROPOSED AND COMPARED WITH OTHER SUCCESSFUL CARP METAHEURISTICS. SOME FEATURES OF THIS GRASP WITH PR ARE (I) REACTIVE PARAMETER TUNING, WHERE THE PARAMETER VALUE IS STOCHASTICALLY SELECTED BIASED IN FAVOR OF THOSE VALUES WHICH HISTORICALLY PRODUCED THE BEST SOLUTIONS IN AVERAGE, (II) A STATISTICAL FILTER, WHICH DISCARD INITIAL SOLUTIONS IF THEY ARE UNLIKELY TO IMPROVE THE INCUMBENT BEST SOLUTION, (III) INFEASIBLE LOCAL SEARCH, WHERE HIGH-QUALITY SOLUTIONS, THOUGH INFEASIBLE, ARE USED TO EXPLORE THE FEASIBLE/ INFEASIBLE BOUNDARIES OF THE SOLUTION SPACE, (IV) EVOLUTIONARY PR, A RECENT TREND WHERE THE POOL OF ELITE SOLUTIONS IS PROGRESSIVELY IMPROVED BY SUCCESSIVE RELINKING OF PAIRS OF ELITE SOLUTIONS. COMPUTATIONAL TESTS WERE CONDUCTED USING A SET OF 81 INSTANCES, AND RESULTS REVEAL THAT THE GRASP IS VERY COMPETITIVE, ACHIEVING THE BEST OVERALL DEVIATION FROM LOWER BOUNDS AND THE HIGHEST NUMBER OF BEST SOLUTIONS FOUND. (C) 2011 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"ALDAIHANI M, 2003, COMPUT IND ENG",HYBRID SCHEDULING METHODS FOR PARATRANSIT OPERATIONS,"WE STUDY AN EXTENSION TO THE GENERAL ROUTING PROBLEM, WHICH DEALS WITH INTEGRATING FIXED ROUTE SERVICE WIT-H THE GENERAL PICKUP AND DELIVERY PROBLEM TO CREATE A HYBRID ROUTING PROBLEM. THE PRIMARY APPLICATION FOR SUCH A SERVICE IS A DIAL-A-RIDE SYSTEM USED BY TRANSIT, AGENCIES TO TRANSPORT DISABLED OR ELDERLY INDIVIDUALS. THE MAIN AIM OF THE INTEGRATION IS TO REDUCE THE VEHICLE MILES OF THE ON-DEMAND VEHICLES WHILE NOT SIGNIFICANTLY REDUCING THE CUSTOMER SERVICE LEVEL. DUE TO THE COMBINATORIAL NATURE OF THE PROBLEM, WE PROPOSE A HEURISTIC ALGORITHM THAT PROVIDES AN APPROXIMATE SOLUTION, WHICH IS COMPUTATIONALLY EFFICIENT FOR SOLVING LARGE SIZED PROBLEMS. THE PROPOSED HEURISTIC IS TESTED USING REAL DATA FROM A TRANSIT AGENCY. (C) 2003 ELSEVIER SCIENCE LTD. ALL RIGHTS RESERVED.",0,,,,,Capacitated Arc Routing Problem,,,
"SHANG R, 2016, SOFT COMPUT",IMMUNE CLONAL SELECTION ALGORITHM FOR CAPACITATED ARC ROUTING PROBLEM,"IN EXISTING METAHEURISTICS FOR SOLVING THE CAPACITATED ARC ROUTING PROBLEM, TRAVERSAL LOCAL SEARCH OPERATORS ARE OFTEN USED TO EXPLORE NEIGHBORS OF THE CURRENT SOLUTIONS. THIS MECHANISM IS BENEFICIAL FOR FINDING HIGH-QUALITY SOLUTIONS, HOWEVER, IT ENTAILS A LARGE NUMBER OF FUNCTION EVALUATIONS, CAUSING HIGH COMPUTATIONAL COMPLEXITY. HENCE, THERE IS A NEED TO FURTHER ENHANCE THE EFFICIENCY OF SUCH ALGORITHMS. THIS PAPER PROPOSES A HIGH-EFFICIENCY IMMUNE CLONAL SELECTION ALGORITHM FOR CAPACITATED ARC ROUTING INSTANCES WITHIN A LIMITED NUMBER OF FUNCTION EVALUATIONS. FIRST, AN IMPROVED CONSTRUCTIVE HEURISTIC IS USED TO INITIALIZE THE ANTIBODY POPULATION. THE INITIAL ANTIBODIES GENERATED BY THIS HEURISTIC HELP ACCELERATE THE ALGORITHM'S CONVERGENCE. SECOND, WE SHOW HOW AN IMMUNE CLONAL SELECTION ALGORITHM CAN SELECT IN FAVOR OF THESE HIGH-QUALITY ANTIBODIES. BY ADOPTING A VARIETY OF DIFFERENT STRATEGIES FOR DIFFERENT CLONES OF THE SAME ANTIBODY, IT NOT ONLY PROMOTES COOPERATION AND INFORMATION EXCHANGING AMONG ANTIBODIES, BUT ALSO INCREASES DIVERSITY AND SPEEDS UP CONVERGENCE. THIRD, TWO DIFFERENT ANTIBODY REPAIR OPERATIONS ARE PROPOSED FOR REPAIRING VARIOUS KINDS OF INFEASIBLE SOLUTIONS. THESE OPERATIONS CAUSE INFEASIBLE SOLUTIONS TO MOVE TOWARDS GLOBAL OPTIMA. EXPERIMENTAL STUDIES DEMONSTRATE IMPROVED PERFORMANCE OVER STATE-OF-ART ALGORITHMS, ESPECIALLY ON MEDIUM-SCALE INSTANCES.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"MARTINELLI R, 2013, COMPUT OPER RES",IMPROVED BOUNDS FOR LARGE SCALE CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) STANDS AMONG THE HARDEST COMBINATORIAL PROBLEMS TO SOLVE OR TO FIND HIGH QUALITY SOLUTIONS. THIS BECOMES EVEN MORE TRUE WHEN DEALING WITH LARGE INSTANCES. THIS PAPER INVESTIGATES METHODS TO IMPROVE ON LOWER AND UPPER BOUNDS OF INSTANCES ON GRAPHS WITH OVER 200 VERTICES AND 300 EDGES, DIMENSIONS THAT, TODAY, CAN BE CONSIDERED OF LARGE SCALE. ON THE LOWER BOUND SIDE, WE PROPOSE TO EXPLORE THE SPEED OF A DUAL ASCENT HEURISTIC TO GENERATE CAPACITY CUTS. THESE CUTS ARE NEXT IMPROVED WITH A NEW EXACT SEPARATION ENCHAINED TO THE LINEAR PROGRAM RESOLUTION THAT FOLLOWS THE DUAL HEURISTIC. ON THE UPPER BOUND, WE IMPLEMENT A MODIFIED ITERATED LOCAL SEARCH PROCEDURE TO CAPACITATED VEHICLE ROUTING PROBLEM (CVRP) INSTANCES OBTAINED BY APPLYING A TRANSFORMATION FROM THE CARP ORIGINAL INSTANCES. COMPUTATIONAL EXPERIMENTS WERE CARRIED OUT ON THE SET OF LARGE INSTANCES GENERATED BY BRANDAO AND EGLESE AND ALSO ON THE REGULAR SIZE SETS. THE EXPERIMENTS ON THE LATTER ALLOW FOR EVALUATING THE QUALITY OF THE PROPOSED SOLUTION APPROACHES, WHILE THOSE ON THE FORMER PRESENT IMPROVED LOWER AND UPPER BOUNDS FOR ALL INSTANCES OF THE CORRESPONDING SET. (C) 2013 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"BARTOLINI E, 2013, MATH PROGRAM",IMPROVED LOWER BOUNDS AND EXACT ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"IN THE CAPACITATED ARC ROUTING PROBLEM (CARP), A SUBSET OF THE EDGES OF AN UNDIRECTED GRAPH HAS TO BE SERVICED AT LEAST COST BY A FLEET OF IDENTICAL VEHICLES IN SUCH A WAY THAT THE TOTAL DEMAND OF THE EDGES SERVICED BY EACH VEHICLE DOES NOT EXCEED ITS CAPACITY. THIS PAPER DESCRIBES A NEW LOWER BOUNDING METHOD FOR THE CARP BASED ON A SET PARTITIONING-LIKE FORMULATION OF THE PROBLEM WITH ADDITIONAL CUTS. THIS METHOD USES CUT-AND-COLUMN GENERATION TO SOLVE DIFFERENT RELAXATIONS OF THE PROBLEM, AND A NEW DYNAMIC PROGRAMMING METHOD FOR GENERATING ROUTES. AN EXACT ALGORITHM BASED ON THE NEW LOWER BOUNDS WAS ALSO IMPLEMENTED TO ASSESS THEIR EFFECTIVENESS. COMPUTATIONAL RESULTS OVER A LARGE SET OF CLASSICAL BENCHMARK INSTANCES SHOW THAT THE PROPOSED METHOD IMPROVES MOST OF THE BEST KNOWN LOWER BOUNDS FOR THE OPEN INSTANCES, AND CAN SOLVE SEVERAL OF THESE FOR THE FIRST TIME.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"MEI Y, 2009, 2009 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1-5",IMPROVED MEMETIC ALGORITHM FOR CAPACITATED ARC ROUTING PROBLEM,"CAPACITATED ARC ROUTING PROBLEM (CARP) HAS ATTRACTED MUCH INTEREST BECAUSE OF ITS WIDE APPLICATIONS IN THE REAL WORLD. RECENTLY, A MEMETIC ALGORITHM PROPOSED BY LACOMME ET AL. (LMA) HAS BEEN DEMONSTRATED TO BE A COMPETITIVE APPROACH TO CARP. THE CROSSOVER OPERATION OF LMA IS CARRIED OUT BASED ON AN IMPLICIT REPRESENTATION SCHEME, WHILE IT CONDUCTS LOCAL SEARCH ON THE BASIS OF AN EXPLICIT REPRESENTATION SCHEME. HENCE, THE SEARCH PROCESS OF LMA INVOLVES FREQUENT SWITCH BETWEEN THE SPACES DEFINED BY THE TWO REPRESENTATION SCHEMES. HOWEVER, A GOOD SOLUTION IN ONE SPACE IS NOT NECESSARILY GOOD IN THE OTHER. IN THIS PAPER, WE SHOW THAT THE LOCAL SEARCH PROCESS OF LMA MIGHT BE INEFFECTIVE DUE TO SUCH REASON, AND SUGGEST ADOPTING A MORE CAREFUL WAY TO COORDINATE THE LOCAL SEARCH. AS A RESULT, TWO NEW LOCAL SEARCH METHODS ARE PROPOSED, WHICH RESULTED IN TWO IMPROVED LMA (ILMA) ALGORITHMS. EXPERIMENTAL RESULTS ON BENCHMARK INSTANCES OF CARP SHOWED THAT THE ILMA SIGNIFICANTLY OUTPERFORMED LMA IN TERMS OF SOLUTION QUALITY, AND SOMETIMES EVEN IN TERMS OF COMPUTATIONAL TIME. FURTHERMORE, ILMA IMPROVED THE BEST KNOWN SOLUTIONS FOR 8 PROBLEM INSTANCES OUT OF THE TOTAL 24 INSTANCES.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"BODE C, 2015, TRANSP SCI",IN-DEPTH ANALYSIS OF PRICING PROBLEM RELAXATIONS FOR THE CAPACITATED ARC-ROUTING PROBLEM,"RECENTLY, BODE AND IRNICH [BODE C, IRNICH S (2012) CUT-FIRST BRANCH-AND-PRICE-SECOND FOR THE CAPACITATED ARC-ROUTING PROBLEM. OPER. RES. 60(5): 1167-1182] PRESENTED A CUT-FIRST BRANCH-AND-PRICE-SECOND ALGORITHM FOR SOLVING THE CAPACITATED ARC-ROUTING PROBLEM (CARP). THE FUNDAMENTAL DIFFERENCE TO OTHER APPROACHES FOR EXACTLY SOLVING THE CARP IS THAT THE ENTIRE ALGORITHM WORKS DIRECTLY ON THE TYPICALLY SPARSE UNDERLYING GRAPH REPRESENTING THE STREET NETWORK. THIS ENABLES THE USE OF HIGHLY EFFICIENT DYNAMIC PROGRAMMING-BASED PRICING ALGORITHMS TO SOLVE THE COLUMN-GENERATION SUBPROBLEM ALSO KNOWN AS THE PRICING PROBLEM. THE CONTRIBUTION OF THIS PAPER IS THE IN-DEPTH ANALYSIS OF THE CARP PRICING PROBLEM AND ITS POSSIBLE RELAXATIONS, INCLUDING THE CONSTRUCTION OF NEW LABELING ALGORITHMS FOR THEIR SOLUTION AND COMPREHENSIVE COMPUTATIONAL TESTS ON STANDARD BENCHMARK PROBLEMS. WE SHOW THAT A SYSTEMATIC VARIATION OF DIFFERENT RELAXATIONS PROVIDES A POWERFUL APPROACH TO SOLVE KNOWINGLY HARD INSTANCES OF THE CARP TO PROVEN OPTIMALITY.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"PADUNGWECH W, 2016, HYBRID METAHEURISTICS (HM 2016)",INVESTIGATING EDGE-REORDERING PROCEDURES IN A TABU SEARCH ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER PRESENTS TWO IDEAS TO GUIDE A TABU SEARCH ALGORITHM FOR THE CAPACITATED ARC ROUTING PROBLEM TO A PROMISING REGION OF THE SOLUTION SPACE. BOTH IDEAS INVOLVE EDGE-REORDERING, ALTHOUGH THEY WORK IN DIFFERENT WAYS. ONE OF THEM AIMS TO DIRECTLY TACKLE DEADHEADING CYCLES, AND THE OTHER TRIES TO REORDER EDGES WITH THE AIM OF EXTENDING A SCOPE OF SOLUTIONS THAT CAN BE REACHED FROM A GIVEN SOLUTION. EXPERIMENTS WERE PERFORMED ON 134 BENCHMARK INSTANCES OF VARIOUS SIZES, AND THE TWO IDEAS WERE SHOWN TO HAVE AN ABILITY TO GUIDE THE SEARCH TO GOOD SOLUTIONS. POSSIBLE ISSUES THAT MAY ARISE WHEN IMPLEMENTING THESE IDEAS ARE ALSO DISCUSSED.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"PORUMBEL D, 2017, EUR J OPER RES",ITERATED LOCAL SEARCH AND COLUMN GENERATION TO SOLVE ARC-ROUTING AS A PERMUTATION SET-COVERING PROBLEM,"WE PROPOSE A METHOD THAT COMBINES COLUMN GENERATION (CG) AND ITERATED LOCAL SEARCH (ILS) TO SOLVE THE CAPACITATED ARC -ROUTING PROBLEM (CARP). ONE OF THE GOALS IS TO INTEGRATE INTO THE ILS (SOME OF) THE DUALITY INFORMATION THAT UNDERPINS THE CG PARADIGM. THE CARP IS EXPRESSED IN A SPACE OF PERMUTATIONS AND SUB-PERMUTATIONS (SEQUENCES, ROUTES) OF THE SET OF REQUIRED EDGES. FOR THIS, THE ILS USES AN EXACT DECODER THAT MAPS ANY PERMUTATION S TO A LIST OF SEQUENCES (ROUTES) OF MINIMUM COST SERVICING ALL EDGES IN THE ORDER S(1), S(2), S(3), ETC. THIS PERMUTATION SPACE IS EXPLORED BOTH BY AN ILS PROCESS AND A CG PROCESS THAT RUN IN PARALLEL AND THAT COMMUNICATE BY EXCHANGING SEQUENCES. THE FIRST USE OF THE CG PARADIGM IN ILS IS THE FOLLOWING: ALL SEQUENCES DISCOVERED BY CG ARE SENT TO THE ILS PROCESS THAT CAN INJECT THEM INTO THE CURRENT ILS SOLUTION. THE SECOND APPLICATION OF CG IN ILS IS A ``CG IMPROVER''",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"SHANG R, 2018, NAT COMPUT",MEMETIC ALGORITHM BASED ON EXTENSION STEP AND STATISTICAL FILTERING FOR LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A CLASSICAL NP-HARD COMBINATORIAL OPTIMIZATION PROBLEM. IN THIS PAPER, WE PRESENT A MEMETIC ALGORITHM BASED ON EXTENSION STEP AND STATISTICAL FILTERING FOR LARGE-SCALE CARP (ESMAENS) WHICH HAS IMPROVEMENTS IN BOTH THE GLOBAL SEARCH STRATEGY AND THE LOCAL SEARCH STRATEGY. FIRSTLY, ESMAENS ADOPTS THE ROUTE DISTANCE GROUPING DECOMPOSITION SCHEME (RDG) TO DECOMPOSE THE LARGE-SCALE CARP INTO SOME INDEPENDENT SUB-PROBLEMS. THEN, THE INITIAL POPULATION WOULD EVOLVE INTO A NEW GROUP BY USING THE EVOLUTIONARY ALGORITHM. FURTHERMORE, ESMAENS INTRODUCES THE EXTENSION STEP SEARCH STRATEGY TO SEARCH THE POTENTIAL SOLUTIONS AROUND THE CURRENT SOLUTION. AS A RESULT, WITH THE INCREASE OF THE ITERATION NUMBER, IT AVOIDS GETTING TO THE PREMATURE CONVERGENCE. MEANWHILE, THE DIVERSITY OF THE POPULATION CAN BE INCREASED. FINALLY, IN THE LOCAL SEARCH STRATEGY, THE STATISTICAL FILTER IS USED TO FILTER OUT SOME SOLUTIONS AND MAKE THE ALGORITHM GET THE LOWER BOUND AT A FASTER CONVERGENCE RATE WITH A HIGH STABILITY. COMPARED WITH RDG-MAENS, EXPERIMENTAL RESULTS ON BEULLEN'C, D, E, F, EGL AND EGL-G TEST SET SHOW THAT ESMAENS HAS A BETTER CONVERGENCE RATE, AND THE STABILITY OF SOLUTIONS OBTAINED IS IMPROVED. FURTHERMORE, ESMAENS ACHIEVES A GLOBAL SEARCH FOR THE SOLUTIONS. ESPECIALLY FOR THE LARGE-SCALE EGL-G TEST SET, ESMAENS CAN CONVERGE TO A LOWER BOUND AT A FASTER CONVERGENCE RATE, AND IT IS SUITABLE FOR SOLVING LARGE-SCALE CARP.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"YAO T, 2017, 2017 IEEE 20TH INTERNATIONAL CONFERENCE ON INTELLIGENT TRANSPORTATION SYSTEMS (ITSC)",MEMETIC ALGORITHM WITH ADAPTIVE LOCAL SEARCH FOR CAPACITATED ARC ROUTING PROBLEM,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) IS A CHALLENGING COMBINATORIAL OPTIMIZATION PROBLEM WITH WIDE REAL WORLD APPLICATIONS. SINCE CARP IS NP-HARD, MANY HEURISTIC AND META-HEURISTIC APPROACHES HAVE BEEN APPLIED TO SOLVE CARP. IN THIS PAPER, A NOVEL EXTENSION MEMETIC APPROACH, NAMED MAENSPLS IS PROPOSED TO IMPROVE THE STATE-OF-THE-ART ALGORITHM-MEMETIC ALGORITHM WITH EXTENDED NEIGHBOURHOOD SEARCH (MAENS) FOR CARP, IN WHICH USING AN ADAPTIVE PROBABILITY TO OPTIMIZE THE FREQUENCY AND DEPTH OF LOCAL SEARCH. BASED ON THE PARAMETER OPTIMIZATION ON ALL THE 8 INSTANCES, EXPERIMENTAL STUDIES SHOW THAT THE PROPOSED ALGORITHM CAN SIGNIFICANTLY IMPROVE THE AVERAGE PERFORMANCE OF MAENS, AND THERE IS AN INCREASE IN THE ROBUST STABILITY AND CONVERGENCE RELIABILITY. FURTHERMORE, 4 NEW BEST KNOWN SOLUTIONS ARE FOUND BY THE PROPOSED ALGORITHM.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"TANG K, 2009, IEEE TRANS EVOL COMPUT",MEMETIC ALGORITHM WITH EXTENDED NEIGHBORHOOD SEARCH FOR CAPACITATED ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) HAS ATTRACTED MUCH ATTENTION DURING THE LAST FEW YEARS DUE TO ITS WIDE APPLICATIONS IN REAL LIFE. SINCE CARP IS NP-HARD AND EXACT METHODS ARE ONLY APPLICABLE TO SMALL INSTANCES, HEURISTIC AND METAHEURISTIC METHODS ARE WIDELY ADOPTED WHEN SOLVING CARP. IN THIS PAPER, WE PROPOSE A MEMETIC ALGORITHM, NAMELY MEMETIC ALGORITHM WITH EXTENDED NEIGHBORHOOD SEARCH (MAENS), FOR CARP. MAENS IS DISTINCT FROM EXISTING APPROACHES IN THE UTILIZATION OF A NOVEL LOCAL SEARCH OPERATOR, NAMELY MERGE-SPLIT (MS). THE MS OPERATOR IS CAPABLE OF SEARCHING USING LARGE STEP SIZES, AND THUS HAS THE POTENTIAL TO SEARCH THE SOLUTION SPACE MORE EFFICIENTLY AND IS LESS LIKELY TO BE TRAPPED IN LOCAL OPTIMA. EXPERIMENTAL RESULTS SHOW THAT MAENS IS SUPERIOR TO A NUMBER OF STATE-OF-THE-ART ALGORITHMS, AND THE ADVANCED PERFORMANCE OF MAENS IS MAINLY DUE TO THE MS OPERATOR. THE APPLICATION OF THE MS OPERATOR IS NOT LIMITED TO MAENS. IT CAN BE EASILY GENERALIZED TO OTHER APPROACHES.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
"FU H, 2010, 2010 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",MEMETIC ALGORITHM WITH HEURISTIC CANDIDATE LIST STRATEGY FOR CAPACITATED ARC ROUTING PROBLEM,"CAPACITATED ARC ROUTING PROBLEM (CARP) HAS DRAWN MUCH ATTENTION DURING THE LAST FEW YEARS BECAUSE OF ITS APPLICATIONS IN THE REAL WORLD. RECENTLY, WE DEVELOPED A MEMETIC ALGORITHM WITH EXTENDED NEIGHBORHOOD SEARCH (MAENS), WHICH IS POWERFUL IN SOLVING CARP. THE EXCELLENT PERFORMANCE OF MAENS IS MAINLY DUE TO ONE OF ITS LOCAL SEARCH OPERATORS, NAMELY THE MERGE-SPLIT (MS) OPERATOR. HOWEVER, THE HIGHER COMPUTATIONAL COMPLEXITY OF THE MS OPERATOR COMPARED TO TRADITIONAL LOCAL SEARCH OPERATORS REMAINS AS THE MAJOR DRAWBACK OF MAENS, ESPECIALLY WHEN APPLYING IT TO LARGE-SIZE INSTANCES. IN THIS PAPER, WE PROPOSE A HEURISTIC CANDIDATE LIST STRATEGY TO SAMPLE THE NEIGHBORS GENERATED BY THE MS OPERATOR INSTEAD OF ENUMERATING OR SAMPLING THEM RANDOMLY, IN ORDER TO AVOID UNNECESSARY CALLINGS OF THE MS OPERATOR DURING LOCAL SEARCH. BASED ON THE STRATEGY, AN IMPROVED ALGORITHM OF MAENS, NAMELY MAENS-II, IS DEVELOPED. EXPERIMENTAL RESULTS ON BENCHMARK INSTANCES SHOWED THAT MAENS-II MANAGED TO OBTAIN THE SAME LEVEL OF SOLUTION QUALITY AS MAENS WITH MUCH LESS COMPUTATIONAL TIME. THIS SHOULD BE CREDITED TO THE UTILIZATION OF THE PROPOSED HEURISTIC STRATEGY. ON THE OTHER HAND, IN CASE BOTH MAENS AND MAENS-II WERE PROVIDED COMPARABLE COMPUTATIONAL TIME, MAENS-II OUTPERFORMED MAENS IN TERMS OF SOLUTION QUALITY.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,
