PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	EA	EY	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZR	ZB	ZS	Z9	U1	U2	SN	EI	BN	UT	PM	
J	Mohan, Srimathy; Gendreau, Michel; Rousseau, Jean-Marc				Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			Heuristics for the Stochastic Eulerian Tour Problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				203	1			107	117		10.1016/j.ejor.2009.07.007					MAY 16 2010	2010																		0377-2217	1872-6860		WOS:000272073100011		
J	Monroy, I. M.; Amaya, C. A.; Langevin, A.				Langevin, Andre/L-6176-2019				The periodic capacitated arc routing problem with irregular services								DISCRETE APPLIED MATHEMATICS				161	4-5	SI		691	701		10.1016/j.dam.2011.05.014					MAR 2013	2013																		0166-218X			WOS:000315549700017		
J	Monroy-Licht, Marcela; Alberto Amaya, Ciro; Langevin, Andre; Rousseau, Louis-Martin				Langevin, Andre/L-6176-2019				The rescheduling arc routing problem								INTERNATIONAL TRANSACTIONS IN OPERATIONAL RESEARCH				24	6			1325	1346		10.1111/itor.12346					NOV 2017	2017																		0969-6016	1475-3995		WOS:000405576800005		
J	Muyldermans, L.; Pang, G.								A guided local search procedure for the multi-compartment capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				37	9			1662	1673		10.1016/j.cor.2009.12.014					SEP 2010	2010																		0305-0548			WOS:000275588400013		
S	Muyldermans, Luc; Pang, Gu						Corberan, A; Laporte, G		Variants of the Capacitated Arc Routing Problem								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				223	253							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100011		
J	Nossack, Jenny; Golden, Bruce; Pesch, Erwin; Zhang, Rui				Pesch, Erwin/M-2308-2015; Zhang, Rui/B-3674-2019	Zhang, Rui/0000-0002-4029-6585			The windy rural postman problem with a time-dependent zigzag option								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				258	3			1131	1142		10.1016/j.ejor.2016.09.010					MAY 1 2017	2017																		0377-2217	1872-6860		WOS:000392770800026		
J	Ozdamar, Linet; Aksu, Dilek Tuzun; Ergunes, Biket				TUZUN AKSU, DILEK/I-4022-2018	TUZUN AKSU, DILEK/0000-0003-0385-7264			Coordinating debris cleanup operations in post disaster road networks								SOCIO-ECONOMIC PLANNING SCIENCES				48	4			249	262		10.1016/j.seps.2014.08.001					DEC 2014	2014																		0038-0121			WOS:000365647400002		
J	Panchamgam, Kiran; Xiong, Yupei; Golden, Bruce; Dussault, Benjamin; Wasil, Edward								The hierarchical traveling salesman problem								OPTIMIZATION LETTERS				7	7	SI		1517	1524		10.1007/s11590-012-0553-x					OCT 2013	2013																		1862-4472			WOS:000324824600009		
J	Platz, Trine Tornoe; Hamers, Herbert								On games arising from multi-depot Chinese postman problems								ANNALS OF OPERATIONS RESEARCH				235	1			675	692		10.1007/s10479-015-1977-3					DEC 2015	2015																		0254-5330	1572-9338		WOS:000365867100031		
J	Porumbel, Daniel; Goncalves, Gilles; Allaoui, Hamid; Hsu, Tiente					allaoui, hamid/0000-0001-7844-5796			Iterated Local Search and Column Generation to solve Arc-Routing as a permutation set-covering problem								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				256	2			349	367		10.1016/j.ejor.2016.06.055					JAN 16 2017	2017																		0377-2217	1872-6860		WOS:000384857500002		
J	Pramudita, Andie; Taniguchi, Eiichi								Model of debris collection operation after disasters and its application in urban area								INTERNATIONAL JOURNAL OF URBAN SCIENCES				18	2	SI		218	243		10.1080/12265934.2014.929507					2014	2014																		1226-5934	2161-6779		WOS:000211721200008		
S	Prins, Christian						Corberan, A; Laporte, G		The Capacitated Arc Routing Problem: Heuristics								ARC ROUTING: PROBLEMS, METHODS, AND APPLICATIONS		MOS-SIAM Series on Optimization		20				131	157							2014	2014																		1549-2540		978-1-611973-66-2	WOS:000444172100008		
J	Prins, Christian; Lacomme, Philippe; Prodhon, Caroline				Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479; PRINS, Christian/0000-0002-0184-0357			Order-first split-second methods for vehicle routing problems: A review								TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES				40				179	200		10.1016/j.trc.2014.01.011					MAR 2014	2014																		0968-090X			WOS:000333786000012		
J	Prodhon, Caroline; Prins, Christian					PRINS, Christian/0000-0002-0184-0357			A survey of recent research on location-routing problems								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				238	1			1	17		10.1016/j.ejor.2014.01.005					OCT 1 2014	2014																		0377-2217	1872-6860		WOS:000337261600001		
S	Ramiro Lopez-Santana, Eduyn; Andres Mendez-Giraldo, German; Alberto Franco-Franco, Carlos					Franco, Carlos/0000-0002-8288-8044; Lopez-Santana, Eduyn/0000-0001-7670-7756	Huang, DS; Jo, KH		A Hybrid Scatter Search Algorithm to Solve the Capacitated Arc Routing Problem with Refill Points								INTELLIGENT COMPUTING THEORIES AND APPLICATION, ICIC 2016, PT II		Lecture Notes in Computer Science		9772				3	15		10.1007/978-3-319-42294-7_1					2016	2016						12th International Conference on Intelligent Computing (ICIC)12th International Conference on Intelligent Computing (ICIC)	AUG 02-05, 2016AUG 02-05, 2016	IEEE Computat Intelligence Soc; Int Neural Network Soc; Natl Sci Fdn ChinaIEEE Computat Intelligence Soc; Int Neural Network Soc; Natl Sci Fdn China	Lanzhou, PEOPLES R CHINALanzhou, PEOPLES R CHINA									0302-9743	1611-3349	978-3-319-42294-7; 978-3-319-42293-0	WOS:000387430400001		
J	Renaud, Alexandre; Absi, Nabil; Feillet, Dominique								The stochastic close-enough arc routing problem								NETWORKS				69	2			205	221		10.1002/net.21729					MAR 2017	2017																		0028-3045	1097-0037		WOS:000394895600004		
J	Riera-Ledesma, Jorge; Jose Salazar-Gonzalez, Juan				Riera-Ledesma, Jorge/G-9950-2015; Gonzalez, Juan Jose Salazar/C-3671-2014	Riera-Ledesma, Jorge/0000-0003-3848-3151; Gonzalez, Juan Jose Salazar/0000-0001-5683-0271			Solving the Team Orienteering Arc Routing Problem with a column generation approach								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				262	1			14	27		10.1016/j.ejor.2017.03.027					OCT 1 2017	2017																		0377-2217	1872-6860		WOS:000402494700002		
J	Riquelme-Rodriguez, Juan-Pablo; Gamache, Michel; Langevin, Andre				Langevin, Andre/L-6176-2019	Gamache, Michel/0000-0002-8916-2377			Location arc routing problem with inventory constraints								COMPUTERS & OPERATIONS RESEARCH				76				84	94		10.1016/j.cor.2016.06.012					DEC 2016	2016																		0305-0548	1873-765X		WOS:000383008100008		
J	Riquelme-Rodriguez, Juan-Pablo; Gamache, Michel; Langevin, Andre				Langevin, Andre/L-6176-2019	Gamache, Michel/0000-0002-8916-2377			Periodic capacitated arc-routing problem with inventory constraints								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				65	12			1840	1852		10.1057/jors.2013.159					DEC 2014	2014																		0160-5682	1476-9360		WOS:000344084600006		
J	Riquelme-Rodriguez, Juan-Pablo; Langevin, Andre; Gamache, Michel				Langevin, Andre/L-6176-2019	Gamache, Michel/0000-0002-8916-2377			Adaptive Large Neighborhood Search for the Periodic Capacitated Arc Routing Problem with Inventory Constraints								NETWORKS				64	2			125	139		10.1002/net.21562					SEP 2014	2014																		0028-3045	1097-0037		WOS:000341978800006		
S	Rodrigues, Ana M.; Soeiro Ferreira, J.				Rodrigues, Ana Maria/L-7425-2017	Rodrigues, Ana Maria/0000-0003-1070-3626; Soeiro Ferreira, Jose/0000-0002-7552-9924	Almeida, JP; Oliveira, JF; Pinto, AA		Sectors and Routes in Solid Waste Collection								OPERATIONAL RESEARCH: IO 2013 - XVI CONGRESS OF APDIO		CIM Series in Mathematical Sciences		4				353	375		10.1007/978-3-319-20328-7_20					2015	2015						16th National Conference of the APDIO16th National Conference of the APDIO	JUN 03-05, 2013JUN 03-05, 2013	Associacao Portuguesa Investigacao OperacAssociacao Portuguesa Investigacao Operac	Braganca, PORTUGALBraganca, PORTUGAL									2364-950X		978-3-319-20328-7; 978-3-319-20327-0	WOS:000377504400020		
J	Rodrigues, Ana Maria; Ferreira, Jose Soeiro				Rodrigues, Ana Maria/L-7425-2017	Rodrigues, Ana Maria/0000-0003-1070-3626; Soeiro Ferreira, Jose/0000-0002-7552-9924			Waste Collection Routing-Limited Multiple Landfills and Heterogeneous Fleet								NETWORKS				65	2	SI		155	165		10.1002/net.21597					MAR 2015	2015						Vehicle Routing and Logistics Optimization (VeRoLog)Vehicle Routing and Logistics Optimization (VeRoLog)	JUL 07-10, 2013JUL 07-10, 2013	Univ Ctr Operat Res; Management Sci & Informat SystUniv Ctr Operat Res; Management Sci & Informat Syst	CORMSIS, Southampton, UNITED KINGDOMCORMSIS, Southampton, UNITED KINGDOM									0028-3045	1097-0037		WOS:000349818900005		
J	Sahin, Halenur; Kara, Bahar Yetis; Karasan, Oya Ekin					Sahin, Halenur/0000-0002-0280-6150			Debris removal during disaster response: A case for Turkey								SOCIO-ECONOMIC PLANNING SCIENCES				53		SI		49	59		10.1016/j.seps.2015.10.003					MAR 2016	2016						Joint EWGLA/ISOLDE MeetingJoint EWGLA/ISOLDE Meeting	JUN 16-20, 2014JUN 16-20, 2014		ITALYITALY									0038-0121			WOS:000372686300007		
J	Salazar-Aguilar, M. Angelica; Langevin, Andre; Laporte, Gilbert				Langevin, Andre/L-6176-2019	Salazar-Aguilar, M. Angelica/0000-0001-5272-4105			The synchronized arc and node routing problem: Application to road marking								COMPUTERS & OPERATIONS RESEARCH				40	7			1708	1715		10.1016/j.cor.2013.01.007					JUL 2013	2013																		0305-0548			WOS:000318131900006		
J	Salazar-Aguilar, M. Angelica; Langevin, Andre; Laporte, Gilbert				Langevin, Andre/L-6176-2019	Salazar-Aguilar, M. Angelica/0000-0001-5272-4105			Synchronized arc routing for snow plowing operations								COMPUTERS & OPERATIONS RESEARCH				39	7			1432	1440		10.1016/j.cor.2011.08.014					JUL 2012	2012																		0305-0548			WOS:000298532900013		
J	Santos, Luis; Coutinho-Rodrigues, Joao; Current, John R.				Coutinho-Rodrigues, Joao/F-5338-2014; nipe, cef/A-4218-2010	Coutinho-Rodrigues, Joao/0000-0001-9311-5584; 			An improved ant colony optimization based algorithm for the capacitated arc routing problem								TRANSPORTATION RESEARCH PART B-METHODOLOGICAL				44	2			246	266		10.1016/j.trb.2009.07.004					FEB 2010	2010																		0191-2615			WOS:000274219900004		
J	Shafahi, Ali; Haghani, Ali								Generalized Maximum Benefit Multiple Chinese Postman Problem								TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES				55		SI		261	272		10.1016/j.trc.2015.01.017					JUN 2015	2015																		0968-090X			WOS:000358092100019		
J	Shang, Ronghua; Du, Bingqi; Ma, Hongna; Jiao, Licheng; Xue, Yu; Stolkin, Rustam								Immune clonal algorithm based on directed evolution for multi-objective capacitated arc routing problem								APPLIED SOFT COMPUTING				49				748	758		10.1016/j.asoc.2016.09.005					DEC 2016	2016																		1568-4946	1872-9681		WOS:000392285600054		
J	Shang, Ronghua; Wang, Jia; Jiao, Licheng; Wang, Yuying								An Improved Decomposition-Based Memetic Algorithm for Multi-Objective Capacitated Arc Routing Problem								APPLIED SOFT COMPUTING				19				343	361		10.1016/j.asoc.2014.03.005					JUN 2014	2014																		1568-4946	1872-9681		WOS:000334768800031		
J	Shang, Ronghua; Wang, Yuying; Wang, Jia; Jiao, Licheng; Wang, Shuo; Qi, Liping								A multi-population cooperative coevolutionary algorithm for multi-objective capacitated arc routing problem								INFORMATION SCIENCES				277				609	642		10.1016/j.ins.2014.03.008					SEP 1 2014	2014																		0020-0255	1872-6291		WOS:000338390200039		
J	Shang, Ronghua; Ma, Hongna; Wang, Jia; Jiao, Licheng; Stolkin, Rustam								Immune clonal selection algorithm for capacitated arc routing problem								SOFT COMPUTING				20	6			2177	2204		10.1007/s00500-015-1634-4					JUN 2016	2016																		1432-7643	1433-7479		WOS:000376103900006		
J	Sipahioglu, Aydin; Kirlik, Gokhan; Parlaktuna, Osman; Yazici, Ahmet				Kirlik, Gokhan/Y-4512-2018; Kirlik, Gokhan/L-3826-2019; Kirlik, Gokhan/D-5322-2019	Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X			Energy constrained multi-robot sensor-based coverage path planning using capacitated arc routing approach								ROBOTICS AND AUTONOMOUS SYSTEMS				58	5			529	538		10.1016/j.robot.2010.01.005					MAY 31 2010	2010																		0921-8890	1872-793X		WOS:000277926200010		
B	Song, Yunlong; Liu, Min			IEEE					Towards the Emergency for Green Networking with Robust Algorithm								2014 IEEE SYMPOSIUM ON COMPUTERS AND COMMUNICATION (ISCC)																2014	2014						IEEE Symposium on Computers and Communication (ISCC)IEEE Symposium on Computers and Communication (ISCC)	JUN 23-26, 2014JUN 23-26, 2014	IEEEIEEE	Funchal, PORTUGALFunchal, PORTUGAL											*****************	WOS:000361532100066		
S	Sorge, Manuel; van Bevern, Rene; Niedermeier, Rolf; Weller, Mathias				van Bevern, Rene/L-1374-2016	van Bevern, Rene/0000-0002-4805-218X	Iliopoulos, CS; Smyth, WF		A New View on Rural Postman Based on Eulerian Extension and Matching								COMBINATORIAL ALGORITHMS		Lecture Notes in Computer Science		7056				310	323							2011	2011						22nd International Workshop on Combinatorial Algorithms22nd International Workshop on Combinatorial Algorithms	JUL 20-22, 2011JUL 20-22, 2011	Pacific Inst Math SciPacific Inst Math Sci	Univ Victoria, Dept Comp Sci, Victoria, CANADAUniv Victoria, Dept Comp Sci, Victoria, CANADA									0302-9743		978-3-642-25010-1	WOS:000308512000025		
S	Sorge, Manuel; van Bevern, Rene; Niedermeier, Rolf; Weller, Mathias				van Bevern, Rene/L-1374-2016	van Bevern, Rene/0000-0002-4805-218X; Weller, Mathias/0000-0002-9653-3690	Kolman, P; Kratochvil, J		From Few Components to an Eulerian Graph by Adding Arcs								GRAPH-THEORETIC CONCEPTS IN COMPUTER SCIENCE		Lecture Notes in Computer Science		6986				307	318							2011	2011						37th International Workshop on Graph-Theoretic Concepts in Computer Science (WG 2011)37th International Workshop on Graph-Theoretic Concepts in Computer Science (WG 2011)	JUN 21-24, 2011JUN 21-24, 2011		Tepla Monastery, CZECH REPUBLICTepla Monastery, CZECH REPUBLIC									0302-9743		978-3-642-25869-5	WOS:000307088100028		
J	Souffriau, Wouter; Vansteenwegen, Pieter; Vanden Berghe, Greet; Van Oudheusden, Dirk				Vansteenwegen, Pieter/W-2501-2018; Vanden Berghe, Greet/A-3914-2015	Vansteenwegen, Pieter/0000-0002-5646-669X; Vanden Berghe, Greet/0000-0002-0275-5568			The planning of cycle trips in the province of East Flanders								OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE				39	2			209	213		10.1016/j.omega.2010.05.001					APR 2011	2011																		0305-0483			WOS:000282112200011		
J	Suil, O.; West, Douglas B.					O, Suil/0000-0002-2182-6237			Sharp bounds for the Chinese Postman Problem in 3-regular graphs and multigraphs								DISCRETE APPLIED MATHEMATICS				190				163	168		10.1016/j.dam.2015.03.017					AUG 20 2015	2015																		0166-218X	1872-6771		WOS:000356751400016		
J	Sun, Jinghao; Meng, Yakun; Tan, Guozhen								An integer programming approach for the Chinese postman problem with time-dependent travel time								JOURNAL OF COMBINATORIAL OPTIMIZATION				29	3	SI		565	588		10.1007/s10878-014-9755-8					APR 2015	2015																		1382-6905	1573-2886		WOS:000350685800004		
J	Tagmouti, Mariam; Gendreau, Michel; Potvin, Jean-Yves				Gendreau, Michel/M-6235-2018; Gendreau, Michel/N-7950-2019	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			A variable neighborhood descent heuristic for arc routing problems with time-dependent service costs								COMPUTERS & INDUSTRIAL ENGINEERING				59	4			954	963		10.1016/j.cie.2010.09.006					NOV 2010	2010																		0360-8352	1879-0550		WOS:000284747000053		
J	Tagmouti, Mariam; Gendreau, Michel; Potvin, Jean-Yves				Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648			A dynamic capacitated arc routing problem with time-dependent service costs								TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES				19	1			20	28		10.1016/j.trc.2010.02.003					FEB 2011	2011																		0968-090X			WOS:000283909700002		
J	Tan, Guozhen; Sun, Jinghao; Hou, Guangjian								The time-dependent rural postman problem: polyhedral results								OPTIMIZATION METHODS & SOFTWARE				28	4	SI		855	870		10.1080/10556788.2012.666240					AUG 1 2013	2013																		1055-6788	1029-4937		WOS:000320925500012		
J	Usberti, Fabio Luiz; Franca, Paulo Morelato; Morelato Franca, Andre Luiz				Franca, Paulo Morelato/E-5528-2011	Franca, Paulo Morelato/0000-0002-0490-5515; Usberti, Fabio/0000-0002-8972-080X			GRASP with evolutionary path-relinking for the capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				40	12			3206	3217		10.1016/j.cor.2011.10.014					DEC 2013	2013																		0305-0548	1873-765X		WOS:000326610000037		
J	Usberti, Fabio Luiz; Franca, Paulo Morelato; Morelato Franca, Andre Luiz				Franca, Paulo Morelato/E-5528-2011	Franca, Paulo Morelato/0000-0002-0490-5515; Usberti, Fabio/0000-0002-8972-080X			The open capacitated arc routing problem								COMPUTERS & OPERATIONS RESEARCH				38	11			1543	1555		10.1016/j.cor.2011.01.012					NOV 2011	2011																		0305-0548	1873-765X		WOS:000289604700009		
J	van Bevern, Rene; Hartung, Sepp; Nichterlein, Andre; Sorge, Manuel				van Bevern, Rene/L-1374-2016	van Bevern, Rene/0000-0002-4805-218X			Constant-factor approximations for Capacitated Arc Routing without triangle inequality								OPERATIONS RESEARCH LETTERS				42	4			290	292		10.1016/j.orl.2014.05.002					JUN 2014	2014																		0167-6377	1872-7468		WOS:000338613800008		
J	Vansteenwegen, Pieter; Souffriau, Wouter; Soerensen, Kenneth				Vansteenwegen, Pieter/W-2501-2018	Vansteenwegen, Pieter/0000-0002-5646-669X			Solving the mobile mapping van problem: A hybrid metaheuristic for capacitated arc routing with soft time windows								COMPUTERS & OPERATIONS RESEARCH				37	11	SI		1870	1876		10.1016/j.cor.2009.05.006					NOV 2010	2010																		0305-0548	1873-765X		WOS:000278504000006		
J	Vansteenwegen, Pieter; Souffriau, Wouter; Van Oudheusden, Dirk				Vansteenwegen, Pieter/W-2501-2018	Vansteenwegen, Pieter/0000-0002-5646-669X			The orienteering problem: A survey								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				209	1			1	10		10.1016/j.ejor.2010.03.045					FEB 16 2011	2011																		0377-2217	1872-6860		WOS:000285492800001		
J	Verbeeck, C.; Vansteenwegen, P.; Aghezzaf, E. -H.				Vansteenwegen, Pieter/W-2501-2018; Aghezzaf, El-Houssaine/B-8298-2008	Vansteenwegen, Pieter/0000-0002-5646-669X; Aghezzaf, El-Houssaine/0000-0003-3849-2218			An extension of the arc orienteering problem and its application to cycle trip planning								TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW				68				64	78		10.1016/j.tre.2014.05.006					AUG 2014	2014																		1366-5545			WOS:000340011600005		
J	Walliser, Michael A.; Potter, Walter D.; Bettinger, Pete				Bettinger, Pete/H-2189-2018	Bettinger, Pete/0000-0002-5454-3970			Response and recovery after severe wind storms using hierarchical open vehicle routing								INTERNATIONAL JOURNAL OF EMERGENCY MANAGEMENT				11	1			20	45		10.1504/IJEM.2015.069515					2015	2015																		1471-4825	1741-5071		WOS:000436297800002		
J	Wang, Zhurong; Jin, Haiyan; Tian, Manman								Rank-based memetic algorithm for capacitated arc routing problems								APPLIED SOFT COMPUTING				37				572	584		10.1016/j.asoc.2015.08.003					DEC 2015	2015																		1568-4946	1872-9681		WOS:000365067800047		
J	Willemse, E. J.; Joubert, J. W.				Joubert, Johan/G-4720-2013	Joubert, Johan W/0000-0001-6631-1803; Willemse, Elias J./0000-0002-0543-5711			Applying min-max k postmen problems to the routing of security guards								JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY				63	2			245	260		10.1057/jors.2011.26					FEB 2012	2012																		0160-5682	1476-9360		WOS:000299213400010		
J	Willemse, Elias J.; Joubert, Johan W.					Willemse, Elias J./0000-0002-0543-5711			Constructive heuristics for the Mixed Capacity Arc Routing Problem under Time Restrictions with Intermediate Facilities								COMPUTERS & OPERATIONS RESEARCH				68				30	62		10.1016/j.cor.2015.10.010					APR 2016	2016																		0305-0548	1873-765X		WOS:000369464000003		
J	Willemse, Elias J.; Joubert, Johan W.					Willemse, Elias J./0000-0002-0543-5711			Benchmark dataset for undirected and Mixed Capacitated Arc Routing Problems under Time restrictions with Intermediate Facilities								DATA IN BRIEF				8				972	977		10.1016/j.dib.2016.06.067					SEP 2016	2016																		2352-3409			WOS:000453168700150	27508252	
J	Willemse, Elias J.; Joubert, Johan W.					Joubert, Johan W/0000-0001-6631-1803; Willemse, Elias J./0000-0002-0543-5711			Splitting procedures for the Mixed Capacitated Arc Routing Problem under Time restrictions with Intermediate Facilities								OPERATIONS RESEARCH LETTERS				44	5			569	574		10.1016/j.orl.2016.06.001					SEP 2016	2016																		0167-6377	1872-7468		WOS:000384854700001		
S	Xie, Binglei; Li, Ying; Jin, Lei					Jin, Lei/0000-0002-0266-1326	Zhang, L; Wei, H; Li, Z; Zhang, Y; Li, M		Vehicle routing optimization for deicing salt spreading in winter highway maintenance								INTELLIGENT AND INTEGRATED SUSTAINABLE MULTIMODAL TRANSPORTATION SYSTEMS PROCEEDINGS FROM THE 13TH COTA INTERNATIONAL CONFERENCE OF TRANSPORTATION PROFESSIONALS (CICTP2013)		Procedia Social and Behavioral Sciences		96				945	953		10.1016/j.sbspro.2013.08.108					2013	2013						13th COTA International Conference of Transportation Professionals (CICTP)13th COTA International Conference of Transportation Professionals (CICTP)	AUG 13-16, 2013AUG 13-16, 2013	Chinese Overseas Transportat Assoc; Tsinghua Univ; Shenzhen Univ; Tsinghua Daimler Ctr Sustainable Transportat; Transportat Res Board; Amer Soc Civil Engineers, US Natl Acad, Transportat & Dev Inst; Inst Transportat Engineers; Elsevier; Unihz Technologies Corp ShenzhenChinese Overseas Transportat Assoc; Tsinghua Univ; Shenzhen Univ; Tsinghua Daimler Ctr Sustainable Transportat; Transportat Res Board; Amer Soc Civil Engineers, US Natl Acad, Transportat & Dev Inst; Inst Transportat Engineers; Elsevier; Unihz Technologies Corp Shenzhen	Shenzhen, PEOPLES R CHINAShenzhen, PEOPLES R CHINA									1877-0428		*****************	WOS:000335588600106		
J	Yazici, Ahmet; Kirlik, Gokhan; Parlaktuna, Osman; Sipahioglu, Aydin				Kirlik, Gokhan/L-3826-2019; Kirlik, Gokhan/D-5322-2019; Kirlik, Gokhan/Y-4512-2018	Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X; Kirlik, Gokhan/0000-0002-3823-908X			A Dynamic Path Planning Approach for Multirobot Sensor-Based Coverage Considering Energy Constraints								IEEE TRANSACTIONS ON CYBERNETICS				44	3			305	314		10.1109/TCYB.2013.2253605					MAR 2014	2014																		2168-2267	2168-2275		WOS:000331906100001	23757551	
J	Yu, Vincent F.; Lin, Shih-Wei				Lin, Shih-Wei/F-7247-2011	Lin, Shih-Wei/0000-0003-1343-0838			Iterated greedy heuristic for the time-dependent prize-collecting arc routing problem								COMPUTERS & INDUSTRIAL ENGINEERING				90				54	66		10.1016/j.cie.2015.09.001					DEC 2015	2015																		0360-8352	1879-0550		WOS:000366233400006		
J	Zachariadis, E. E.; Kiranoudis, C. T.				Kiranoudis, Chris/K-4363-2013; Zachariadis, Emmanouil E/O-2691-2014	Zachariadis, Emmanouil E/0000-0001-8323-2023			Local search for the undirected capacitated arc routing problem with profits								EUROPEAN JOURNAL OF OPERATIONAL RESEARCH				210	2			358	367		10.1016/j.ejor.2010.09.039					APR 16 2011	2011																		0377-2217			WOS:000286853300024		
J	Zhang, Yuzhou; Mei, Yi; Tang, Ke; Jiang, Keqin				Mei, Yi/D-1451-2019	Mei, Yi/0000-0003-0682-1363			Memetic algorithm with route decomposing for periodic capacitated arc routing problem								APPLIED SOFT COMPUTING				52				1130	1142		10.1016/j.asoc.2016.09.017					MAR 2017	2017																		1568-4946	1872-9681		WOS:000395896500082		
