PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Cai, X; Sha, D; Wong, CK				Cai, X; Sha, D; Wong, CK			Time-Varying Network Optimization	TIME-VARYING NETWORK OPTIMIZATION	International Series in Operations Research & Management Science																												0884-8289		978-0-387-71215-4				2007	103						1	226		10.1007/0-387-71215-1								WOS:000270231100010						
S	Cai, XQ; Sha, D; Wong, CK	Cai, X; Sha, D; Wong, CK			Cai, Xiaoqiang; Sha, Dan; Wong, C. K.	Cai, X; Sha, D; Wong, CK		TIME-VARYING NETWORK OPTIMIZATION Preface	TIME-VARYING NETWORK OPTIMIZATION	International Series in Operations Research & Management Science																												0884-8289		978-0-387-71215-4				2007	103						XV	+			10.1007/0-387-71215-1							WOS:000270231100001						
J	Ghiani, G; Musmanno, R				Ghiani, G; Musmanno, R			Recent algorithmic advances for Arc Routing Problems	COMPUTERS & OPERATIONS RESEARCH																	GHIANI, Gianpaolo/0000-0002-5243-1799												0305-0548					DEC	2006	33	12					3361	3362		10.1016/j.cor.2005.02.016								WOS:000238606300001						
J	Belenguer, JM; Benavent, E; Lacomme, P; Prins, C				Belenguer, JM; Benavent, E; Lacomme, P; Prins, C			Lower and upper bounds for the mixed capacitated arc routing problem	COMPUTERS & OPERATIONS RESEARCH																Philippe, Lacomme PL/I-8459-2016; Benavent, Enrique/H-5884-2015; Belenguer, Jose Manuel/L-3049-2014	Philippe, Lacomme PL/0000-0001-6328-9479; Belenguer, Jose Manuel/0000-0002-4604-2789												0305-0548					DEC	2006	33	12					3363	3383		10.1016/j.cor.2005.02.009								WOS:000238606300002						
J	Corberan, A; Mota, E; Sanchis, JM				Corberan, Angel; Mota, Enrique; Sanchis, Jose M.			A comparison of two different formulations for arc routing problems on mixed graphs	COMPUTERS & OPERATIONS RESEARCH																Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015	SANCHIS, JOSE M/0000-0002-0039-8122												0305-0548	1873-765X				DEC	2006	33	12					3384	3402		10.1016/j.cor.2005.02.010								WOS:000238606300003						
J	Ahr, D; Reinelt, G				Ahr, Dino; Reinelt, Gerhard			A tabu search algorithm for the min-max k-Chinese postman problem	COMPUTERS & OPERATIONS RESEARCH																													0305-0548	1873-765X				DEC	2006	33	12					3403	3422		10.1016/j.cor.2005.02.011								WOS:000238606300004						
J	Aminu, UF; Eglese, RW				Aminu, U. F.; Eglese, R. W.			A constraint programming approach to the Chinese postman problem with time windows	COMPUTERS & OPERATIONS RESEARCH																	Eglese, Richard William/0000-0003-2781-9828												0305-0548	1873-765X				DEC	2006	33	12					3423	3431		10.1016/j.cor.2005.02.012								WOS:000238606300005						
J	Araoz, J; Fernandez, E; Zoltan, C				Araoz, Julian; Fernandez, Elena; Zoltan, Cristina			Privatized rural postman problems	COMPUTERS & OPERATIONS RESEARCH																Fernandez, Elena/E-1799-2012	Fernandez, Elena/0000-0003-4714-0257												0305-0548	1873-765X				DEC	2006	33	12					3432	3449		10.1016/j.cor.2005.02.013								WOS:000238606300006						
J	Ghiani, G; Lagana, D; Musmanno, R				Ghiani, G; Lagana, D; Musmanno, R			A constructive heuristic for the undirected rural postman problem	COMPUTERS & OPERATIONS RESEARCH																Lagana, Demetrio/Q-3039-2016	Lagana, Demetrio/0000-0003-2618-6715; GHIANI, Gianpaolo/0000-0002-5243-1799												0305-0548					DEC	2006	33	12					3450	3457		10.1016/j.cor.2005.02.014								WOS:000238606300007						
J	Wohlk, S				Wohlk, Sanne			New lower bound for the capacitated arc routing problem	COMPUTERS & OPERATIONS RESEARCH																	Wohlk, Sanne/0000-0003-3847-7528												0305-0548	1873-765X				DEC	2006	33	12					3458	3472		10.1016/j.cor.2005.02.015								WOS:000238606300008						
J	Lacomme, P; Prins, C; Sevaux, M				Lacomme, P.; Prins, C.; Sevaux, M.			A genetic algorithm for a bi-objective capacitated arc routing problem	COMPUTERS & OPERATIONS RESEARCH																Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479; Sevaux, Marc/0000-0003-3855-9072												0305-0548	1873-765X				DEC	2006	33	12					3473	3493		10.1016/j.cor.2005.02.017								WOS:000238606300009						
J	Marzolf, F; Trepanier, M; Langevin, A				Marzolf, Fabien; Trepanier, Martin; Langevin, Andre			Road network monitoring: algorithms and a case study	COMPUTERS & OPERATIONS RESEARCH																Langevin, Andre/L-6176-2019													0305-0548	1873-765X				DEC	2006	33	12					3494	3507		10.1016/j.cor.2005.02.040								WOS:000238606300010						
J	Kim, BI; Kim, S; Sahoo, S				Kim, BI; Kim, S; Sahoo, S			Waste collection vehicle routing problem with time windows	COMPUTERS & OPERATIONS RESEARCH																Kim, Byung-In/F-6961-2013													0305-0548					DEC	2006	33	12					3624	3642		10.1016/j.cor.2005.02.045								WOS:000238606300018						
J	Corberan, A; Plana, I; Sanchis, JM				Corberan, Angel; Plana, Isaac; Sanchis, Jose M.			Zigzag inequalities: a new class of facet-inducing inequalities for Arc Routing Problems	MATHEMATICAL PROGRAMMING																SANCHIS, JOSE M/H-5912-2015; Plana, Isaac/H-6656-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232												0025-5610	1436-4646				AUG	2006	108	1					79	96		10.1007/s10107-005-0643-y								WOS:000237563700004						
J	Longo, H; de Aragao, MP; Uchoa, E				Longo, H; de Aragao, MP; Uchoa, E			Solving capacitated arc routing problems using a transformation to the CVRP	COMPUTERS & OPERATIONS RESEARCH																Uchoa, Eduardo/F-7193-2011	Uchoa, Eduardo/0000-0002-8687-2613												0305-0548	1873-765X				JUN	2006	33	6					1823	1837		10.1016/j.cor.2004.11.020								WOS:000234338400018						
J	Sniezek, J; Bodin, L				Sniezek, John; Bodin, Lawrence			Using mixed integer programming for solving the Capacitated Arc Routing Problem with Vehicle/Site Dependencies with an application to the routing of residential sanitation collection vehicles	ANNALS OF OPERATIONS RESEARCH					4th Triennial Symposium on Transportation Analysis (TRISTAN IV)	JUN 13-19, 2001	Sao Miguel, PORTUGAL																						0254-5330	1572-9338				APR	2006	144	1					33	58		10.1007/s10479-006-0006-y								WOS:000240254900004						
J	Oppen, J; Lokketangen, A				Oppen, J; Lokketangen, A			Arc routing in a node routing environment	COMPUTERS & OPERATIONS RESEARCH																													0305-0548					APR	2006	33	4					1033	1055		10.1016/j.cor.2004.09.004								WOS:000232998100010						
J	Chu, F; Labadi, N; Prins, C				Chu, F; Labadi, N; Prins, C			A Scatter Search for the Periodic Capacitated Arc Routing Problem	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																Chu, Feng/B-3680-2013	Chu, Feng/0000-0003-1225-8319												0377-2217					MAR 1	2005	169	2					586	605		10.1016/j.ejor.2004.08.017								WOS:000232583700015						
J	Korteweg, P; Volgenant, T				Korteweg, P; Volgenant, T			On the Hierarchical Chinese Postman Problem with linear ordered classes	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																Volgenant, Anton/A-4004-2008													0377-2217	1872-6860				FEB 16	2006	169	1					41	52		10.1016/j.ejor.2004.06.003								WOS:000232383100003						
B	Lacomme, P; Mourao, MC; Nunes, AC; Prins, C			IEEE	Lacomme, Philippe; Candida Mourao, Maria; Catarina Nunes, Ana; Prins, Christian			Single closest task assignment: a heuristic method for the sectoring-arc routing problem	2006 International Conference on Service Systems and Service Management, Vols 1 and 2, Proceedings					International Conference on Service Systems and Service Management	OCT 25-27, 2006	Troyes, FRANCE	Univ Technol Troyes, GdR MACS, Tsinghua Univ, Aube Conseil Gen, Reg Champagne Ardenne								Philippe, Lacomme PL/I-8459-2016; Mourao, Maria Candida/P-4585-2016; Nunes, Ana Catarina/A-2148-2013	Philippe, Lacomme PL/0000-0001-6328-9479; Mourao, Maria Candida/0000-0002-3891-6730; Nunes, Ana Catarina/0000-0002-4025-1985														1-4244-0450-9				2006							1531	1535		10.1109/ICSSSM.2006.320763								WOS:000242559100262						
J	Perrier, N; Langevin, A; Campbell, JF				Perrier, N; Langevin, A; Campbell, JF			A survey of models and algorithms for winter road maintenance. Part I: system design for spreading and plowing	COMPUTERS & OPERATIONS RESEARCH																Langevin, Andre/L-6176-2019	Campbell, James/0000-0003-2951-8703												0305-0548	1873-765X				JAN	2006	33	1					209	238		10.1016/j.cor.2004.07.006								WOS:000231777300011						
S	Cordeau, JF; Laporte, G		Appa, G; Pitsoulis, L; Williams, HP		Cordeau, Jean-Francois; Laporte, Gilbert			MODELING AND OPTIMIZATION OF VEHICLE ROUTING AND ARC ROUTING PROBLEMS	HANDBOOK ON MODELLING FOR DISCRETE OPTIMIZATION	International Series in Operations Research & Management Science																												0884-8289		978-0-387-32942-0; 978-0-387-32941-3				2006	88						151	191		10.1007/0-387-32942-0_6	10.1007/0-387-32942-0							WOS:000270681800007						
J	Baldacci, R; Maniezzo, V				Baldacci, R; Maniezzo, V			Exact methods based on node-routing formulations for undirected Arc-Routing Problems	NETWORKS																	maniezzo, vittorio/0000-0002-1220-1235; BALDACCI, ROBERTO/0000-0003-0938-5798												0028-3045					JAN	2006	47	1					52	60		10.1002/NET.20091								WOS:000234527100005						
J	Benavent, E; Corberan, A; Pinana, E; Plana, I; Sanchis, JM				Benavent, E; Corberan, A; Pinana, E; Plana, I; Sanchis, JM			New heuristic algorithms for the windy rural postman problem	COMPUTERS & OPERATIONS RESEARCH																Corberan, Angel/K-2435-2014; SANCHIS, JOSE M/H-5912-2015; Pinana Manuel, Estefania/H-5195-2015; Benavent, Enrique/H-5884-2015; Plana, Isaac/H-6656-2015	SANCHIS, JOSE M/0000-0002-0039-8122; Pinana Manuel, Estefania/0000-0002-4265-3945; Plana, Isaac/0000-0002-0516-4608; Corberan, Angel/0000-0002-0664-4232												0305-0548	1873-765X				DEC	2005	32	12					3111	3128		10.1016/j.cor.2004.04.007								WOS:000231107100003						
J	Muyldermans, L; Beullens, P; Cattrysse, D; Van Oudheusden, D				Muyldermans, L; Beullens, P; Cattrysse, D; Van Oudheusden, D			Exploring variants of 2-opt and 3-opt for the general routing problem	OPERATIONS RESEARCH																	Cattrysse, Dirk/0000-0002-3421-888X												0030-364X					NOV-DEC	2005	53	6					982	995		10.1287/opre.1040.0205								WOS:000234756000007						
J	Feillet, D; Dejax, P; Gendreau, M				Feillet, D; Dejax, P; Gendreau, M			The profitable arc tour problem: Solution with a branch-and-price algorithm	TRANSPORTATION SCIENCE																Gendreau, Michel/N-7950-2019; Gendreau, Michel/M-6235-2018	Gendreau, Michel/0000-0002-9262-3648; Gendreau, Michel/0000-0002-9262-3648; Feillet, Dominique/0000-0003-1246-223X												0041-1655					NOV	2005	39	4					539	552		10.1287/trsc.1040.0106								WOS:000233836900010						
J	Pearn, WL; Chiu, WC				Pearn, WL; Chiu, WC			Approximate solutions for the Maximum Benefit Chinese Postman Problem	INTERNATIONAL JOURNAL OF SYSTEMS SCIENCE																													0020-7721	1464-5319				OCT 20	2005	36	13					815	822		10.1080/00207720500282292								WOS:000233776700004						
J	Lacomme, P; Prins, C; Ramdane-Cherif, W				Lacomme, P; Prins, C; Ramdane-Cherif, W			Evolutionary algorithms for periodic arc routing problems	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH					8th International Workshop on Project Management and Scheduling	APR 03-05, 2002	Univ Valencia, Valencia, SPAIN		Univ Valencia							Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479; PRINS, Christian/0000-0002-0184-0357												0377-2217	1872-6860				SEP 1	2005	165	2					535	553		10.1016/j.ejor.2004.04.021								WOS:000227660900021						
J	Groves, GW; le Roux, J; van Vuuren, JH				Groves, GW; le Roux, J; van Vuuren, JH			On a routing and scheduling problem concerning multiple edge traversals in graphs	NETWORKS																													0028-3045	1097-0037				SEP	2005	46	2					69	81		10.1002/net.20073								WOS:000231128800002						
J	Fleury, G; Lacomme, P; Prins, C; Ramdane-Cherif, W				Fleury, G; Lacomme, P; Prins, C; Ramdane-Cherif, W			Improving robustness of solutions to arc routing problems	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY																Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479												0160-5682	1476-9360				MAY	2005	56	5					526	538		10.1057/palgrave.jors.2601822								WOS:000228357400007						
J	Chu, F; Labadi, N; Prins, C				Chu, F; Labadi, N; Prins, C			Heuristics for the periodic capacitated arc routing problem	JOURNAL OF INTELLIGENT MANUFACTURING					International Conference on Production Systems Design Supply Chain Management and Logistics	OCT, 2002	Miedzyzdroje, POLAND									Chu, Feng/B-3680-2013	PRINS, Christian/0000-0002-0184-0357; Chu, Feng/0000-0003-1225-8319												0956-5515					APR	2005	16	2					243	251		10.1007/s10845-004-5892-8								WOS:000227071000009						
J	Ghiani, G; Musmanno, R; Paletta, G; Triki, C				Ghiani, G; Musmanno, R; Paletta, G; Triki, C			A heuristic for the periodic rural postman problem	COMPUTERS & OPERATIONS RESEARCH																	GHIANI, Gianpaolo/0000-0002-5243-1799; Paletta, Giuseppe/0000-0001-8446-781X												0305-0548					FEB	2005	32	2					219	228		10.1016/S0305-0548(03)00213-2								WOS:000224335700002						
J	Irnich, S				Irnich, S			A note on postman problems with zigzag service	INFOR																	Irnich, Stefan/0000-0001-9383-4546												0315-5986					FEB	2005	43	1					33	39										WOS:000235618000003						
J	Mourao, MC; Amado, L				Mourao, MC; Amado, L			Heuristic method for a mixed capacitated arc routing problem: A refuse collection application	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH					Conference of the International-Federations-of-Operations-Research-Societies	JUL 08-12, 2002	Edinburgh, SCOTLAND	Int Federat Operat Res Soc								Mourao, Maria Candida/P-4585-2016	Mourao, Maria Candida/0000-0002-3891-6730												0377-2217					JAN 1	2005	160	1					139	153		10.1016/j.ejor.2004.01.023								WOS:000224168600011						
B	Hertz, A		Golumbic, MC; Hartman, IBA		Hertz, A			Recent trends in arc routing	GRAPH THEORY, COMBINATORICS AND ALGORITHMS: INTERDISCIPLINARY APPLICATIONS					Haifa Workshop on Interdisciplinary Applications of Graph Theory, Combinatorics and Algorithms	JUN 17-20, 2002	Caesarea Rothschild Inst, Haifa, ISRAEL	Caesarea Edmond Benjamin Rothschild Fdn	Caesarea Rothschild Inst																						0-387-24347-X				2005							215	236										WOS:000231730800009						
J	Arkin, EM; Bender, MA; Demaine, ED; Fekete, SP; Mitchell, JSB; Sethia, S				Arkin, Esther M.; Bender, Michael A.; Demaine, Erik D.; Fekete, Sandor P.; Mitchell, Joseph S. B.; Sethia, Saurabh			OPTIMAL COVERING TOURS WITH TURN COSTS	SIAM JOURNAL ON COMPUTING																													0097-5397	1095-7111					2005	35	3					531	566		10.1137/S0097539703434267								WOS:000208048300002						
J	Lacomme, P; Prins, C; Ramdane-Cherif, W				Lacomme, P; Prins, C; Ramdane-Cherif, W			Competitive memetic algorithms for arc routing problems	ANNALS OF OPERATIONS RESEARCH																Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479; PRINS, Christian/0000-0002-0184-0357												0254-5330	1572-9338				OCT	2004	131	1-4					159	185		10.1023/B:ANOR.0000039517.35989.6d								WOS:000223535200008						
J	Prins, C				Prins, C			A simple and effective evolutionary algorithm for the vehicle routing problem	COMPUTERS & OPERATIONS RESEARCH																	PRINS, Christian/0000-0002-0184-0357												0305-0548	1873-765X				OCT	2004	31	12					1985	2002		10.1016/S0308-0548(03)00158-8								WOS:000222247600003						
S	Bautista, J; Pereira, J		Dorigo, M; Birattari, M; Blum, C; Gambardella, LM; Mondada, F; Stutzel, T		Bautista, J; Pereira, J			Ant algorithms for urban waste collection routing	ANT COLONY OPTIMIZATION AND SWARM INTELLIGENCE, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				4th International Workshop on Ant Colony Optimization and Swarm Intelligence	SEP 05-08, 2004	Brussels, BELGIUM	IRIDIA, Univ Libre Bruxelles								Bautista, Joaquin/K-7146-2014	Bautista, Joaquin/0000-0002-2214-4991; Pereira, Jordi/0000-0002-1736-3575												0302-9743		3-540-22672-9				2004	3172						302	309										WOS:000223762300028						
S	Doerner, KF; Hartl, RF; Maniezzo, V; Reimann, M		Dorigo, M; Birattari, M; Blum, C; Gambardella, LM; Mondada, F; Stutzel, T		Doerner, KF; Hartl, RF; Maniezzo, V; Reimann, M			Applying ant colony optimization to the Capacitated Arc Routing Problem	ANT COLONY OPTIMIZATION AND SWARM INTELLIGENCE, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				4th International Workshop on Ant Colony Optimization and Swarm Intelligence	SEP 05-08, 2004	Brussels, BELGIUM	IRIDIA, Univ Libre Bruxelles								Doerner, Karl/B-8769-2008; Hartl, Richard F/C-7043-2017	Doerner, Karl/0000-0001-8350-1393; Hartl, Richard F/0000-0002-0461-0979; maniezzo, vittorio/0000-0002-1220-1235												0302-9743		3-540-22672-9				2004	3172						420	421										WOS:000223762300045						
S	Lacomme, P; Prins, C; Tanguy, A		Dorigo, M; Birattari, M; Blum, C; Gambardella, LM; Mondada, F; Stutzel, T		Lacomme, P; Prins, C; Tanguy, A			First competitive ant colony scheme for the CARP	ANT COLONY OPTIMIZATION AND SWARM INTELLIGENCE, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				4th International Workshop on Ant Colony Optimization and Swarm Intelligence	SEP 05-08, 2004	Brussels, BELGIUM	IRIDIA, Univ Libre Bruxelles								Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479												0302-9743		3-540-22672-9				2004	3172						426	427										WOS:000223762300048						
S	Fleury, G; Lacomme, P; Prins, C		Raidl, GR		Fleury, G; Lacomme, P; Prins, C			Evolutionary algorithms for stochastic arc routing problems	APPLICATIONS OF EVOLUTIONARY COMPUTING	LECTURE NOTES IN COMPUTER SCIENCE				EvoWorkshops 2004 Conference	APR 05-07, 2004	Coimbra, PORTUGAL	EvoNet, Univ Coimbra								Philippe, Lacomme PL/I-8459-2016	Philippe, Lacomme PL/0000-0001-6328-9479												0302-9743		3-540-21378-3				2004	3005						501	512										WOS:000189502700051						
B	Neumann, F			IEEE	Neumann, F			Expected runtimes of evolutionary algorithms for the Eulerian cycle problem	CEC2004: PROCEEDINGS OF THE 2004 CONGRESS ON EVOLUTIONARY COMPUTATION, VOLS 1 AND 2	IEEE Congress on Evolutionary Computation				Congress on Evolutionary Computation (CEC 2004)	JUN 19-23, 2004	Portland, OR	IEEE, Neural Network Soc, Evolutionary Programming Soc, IEEE									Neumann, Frank/0000-0002-2721-3618														0-7803-8515-2				2004							904	910		10.1109/CEC.2004.1330957								WOS:000222818400128						
S	Greistorfer, P		Resende, MGC; DeSousa, JP		Greistorfer, P			Experimental pool design: Input, output and combination strategies for scatter search	METAHEURISTICS: COMPUTER DECISION-MAKING	Applied Optimization				4th Metaheuristics International Conference	JUL 16-20, 2001	Oporto, PORTUGAL																						1384-6485		1-4020-7653-3				2004	86						279	+										WOS:000222132600013						
B	Chu, F; Labadi, N; Prins, C		Chen, J		Chu, F; Labadi, N; Prins, C			The periodic capacitated arc routing problem: Linear programming model, metaheuristic and lower bounds	SERVICE SYSTEMS AND SERVICE MANAGEMENT - PROCEEDINGS OF ICSSSM '04, VOLS 1 AND 2					International Conference on Service Systems and Service Management	JUL 19-21, 2004	Beijing, PEOPLES R CHINA	IEEE Syst, Man & Cybernet Soc, Tsinghua Univ, Sch Econ & Management								Chu, Feng/B-3680-2013															7-5062-6821-3				2004							784	789										WOS:000223847800157						
J	Amponsah, SK; Salhi, S				Amponsah, SK; Salhi, S			The investigation of a class of capacitated arc routing problems: the collection of garbage in developing countries	WASTE MANAGEMENT																													0956-053X						2004	24	7					711	721		10.1016/j.wasman.2004.01.008								WOS:000223466100009	15288303					
J	Muyldermans, L; Cattrysse, D; Van Oudheusden, D				Muyldermans, L; Cattrysse, D; Van Oudheusden, D			District design for arc-routing applications	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY																	Cattrysse, Dirk/0000-0002-3421-888X												0160-5682	1476-9360				NOV	2003	54	11					1209	1221		10.1057/palgrave.jors.2601626								WOS:000186161700009						
J	Corberan, A; Mota, E; Salazar, JJ				Corberan, A; Mota, E; Salazar, JJ			Some recent contributions to routing and location problems	NETWORKS																Gonzalez, Juan Jose Salazar/C-3671-2014; Corberan, Angel/K-2435-2014	Gonzalez, Juan Jose Salazar/0000-0001-5683-0271; 												0028-3045					SEP	2003	42	2					109	113		10.1002/net.10086								WOS:000184921100004						
J	Beullens, P; Muyldermans, L; Cattrysse, D; Van Oudheusden, D				Beullens, P; Muyldermans, L; Cattrysse, D; Van Oudheusden, D			A guided local search heuristic for the capacitated arc routing problem	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Cattrysse, Dirk/0000-0002-3421-888X												0377-2217					JUN 16	2003	147	3					629	643		10.1016/S0377-2217(02)00334-X								WOS:000181578300013						
J	Muyldermans, L				Muyldermans, Luc			Routing, districting and location for arc traversal problems	4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH																													1619-4500	1614-2411				JUN	2003	1	2					169	172		10.1007/s10288-003-0015-5								WOS:000209573300007						
J	Belenguer, JM; Benavent, E				Belenguer, JM; Benavent, E			A cutting plane algorithm for the capacitated arc routing problem	COMPUTERS & OPERATIONS RESEARCH																Belenguer, Jose Manuel/L-3049-2014; Benavent, Enrique/H-5884-2015	Belenguer, Jose Manuel/0000-0002-4604-2789; 												0305-0548					APR	2003	30	5					705	728	PII S0305-0548(02)00046-1	10.1016/S0305-0548(02)00046-1								WOS:000180519500005						
J	Corberan, A; Romero, A; Sanchis, JM				Corberan, A; Romero, A; Sanchis, JM			The mixed general routing polyhedron	MATHEMATICAL PROGRAMMING																SANCHIS, JOSE M/H-5912-2015; Corberan, Angel/K-2435-2014	SANCHIS, JOSE M/0000-0002-0039-8122; 												0025-5610	1436-4646				APR	2003	96	1					103	137		10.1007/s10107-003-0391-9								WOS:000182784600005						
J	Greistorfer, P				Greistorfer, P			A tabu scatter search metaheuristic for the arc routing problem	COMPUTERS & INDUSTRIAL ENGINEERING																													0360-8352	1879-0550				FEB	2003	44	2					249	266	PII S0360-8352(02)00178-X	10.1016/S0360-8352(02)00178-X								WOS:000180810600004						
S	Lacomme, P; Prins, C; Sevaux, M		Fonseca, CM; Fleming, PJ; Zitzler, E; Deb, K; Thiele, L		Lacomme, P; Prins, C; Sevaux, M			Multiobjective Capacitated Arc Routing Problem	EVOLUTIONARY MULTI-CRITERION OPTIMIZATION, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				2nd International Conference on Evolutionary Multi-Criterion Optimization (EMO 2001)	APR 08-11, 2003	UNIV ALGARVE, FARO, PORTUGAL	Fundacao Cienica & Technol, Fundacao Calouste Gulbenkian, Fundacao Oriente, Fundacao Luso Amer Desenvolvimento, Camara Municipal Faro, Camara Municipal tavira, Governo Civil Faro, PROAlgarve, Turismo Algarve, Aguas Monch, Banco Portugues Atlantico, Epaminondas, Illy Cafes, Parmalat SA, Refrige, SINFIC, Staples Off Ctr	UNIV ALGARVE							Philippe, Lacomme PL/I-8459-2016; Sevaux, Marc/B-6004-2009	Philippe, Lacomme PL/0000-0001-6328-9479; Sevaux, Marc/0000-0003-3855-9072												0302-9743		3-540-01869-7				2003	2632						550	564										WOS:000184815500039						
J	Corberan, A; Marti, R; Sanchis, JM				Corberan, A; Marti, R; Sanchis, JM			A GRASP heuristic for the mixed Chinese postman problem	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																Corberan, Angel/K-2435-2014; Marti, Rafael/K-4732-2014; SANCHIS, JOSE M/H-5912-2015	Marti, Rafael/0000-0001-7265-823X; SANCHIS, JOSE M/0000-0002-0039-8122												0377-2217	1872-6860				OCT 1	2002	142	1					70	80	PII S0377-2217(01)00296-X	10.1016/S0377-2217(01)00296-X								WOS:000177306700006						
J	Kim, KY; Norman, BA; Nnaji, BO				Kim, KY; Norman, BA; Nnaji, BO			Heuristics for single-pass welding task sequencing	INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH																Kim, Kyoung-Yun/D-1545-2010													0020-7543	1366-588X				AUG	2002	40	12					2769	2788		10.1080/00207540210139051								WOS:000177196200006						
J	De Rosa, B; Improta, G; Ghiani, G; Musmanno, R				De Rosa, B; Improta, G; Ghiani, G; Musmanno, R			The arc routing and scheduling problem with transshipment	TRANSPORTATION SCIENCE																	GHIANI, Gianpaolo/0000-0002-5243-1799												0041-1655					AUG	2002	36	3					301	313		10.1287/trsc.36.3.301.7832								WOS:000177581900004						
J	Muyldermans, L; Cattrysse, D; Van Oudheusden, D; Lotan, T				Muyldermans, L; Cattrysse, D; Van Oudheusden, D; Lotan, T			Districting for salt spreading operations	EUROPEAN JOURNAL OF OPERATIONAL RESEARCH																	Cattrysse, Dirk/0000-0002-3421-888X												0377-2217	1872-6860				JUN 16	2002	139	3					521	532	PII S0377-2217(01)00184-9	10.1016/S0377-2217(01)00184-9								WOS:000174978400005						
J	Corberan, A; Marti, R; Martinez, E; Soler, D				Corberan, A; Marti, R; Martinez, E; Soler, D			The Rural Postman Problem on mixed graphs with turn penalties	COMPUTERS & OPERATIONS RESEARCH																Martinez, Eulalia/K-7913-2014; Corberan, Angel/K-2435-2014; Marti, Rafael/K-4732-2014; Soler, David/K-2872-2014	Martinez, Eulalia/0000-0003-2869-4334; Marti, Rafael/0000-0001-7265-823X; Soler, David/0000-0002-7707-1646												0305-0548					JUN	2002	29	7					887	903		10.1016/S0305-0548(00)00091-5								WOS:000173749700007						
S	Ahr, D; Reinelt, G		Mohring, R; Raman, R		Ahr, D; Reinelt, G			New heuristics and lower bounds for the min-max k-Chinese Postman Problem	ALGORITHMS-ESA 2002, PROCEEDINGS	Lecture Notes in Computer Science				10th Annual European Symposium on Algorithms (ESA 2002)	SEP 17-21, 2002	UNIV ROME, ROME, ITALY	European Assoc Theoret Comp Sci	UNIV ROME																				0302-9743		3-540-44180-8				2002	2461						64	74										WOS:000181470400006						
S	Gaetani, F; Fiorucci, P; Minciardi, R; Trasforini, E		Sano, A; Nishioka, S; Tamura, H		Gaetani, F; Fiorucci, P; Minciardi, R; Trasforini, E			Development and application of an efficient procedure for fleet size and route determination for solid waste collection in urban areas	MODELING AND CONTROL IN ENVIRONMENTAL ISSUES 2001	IFAC Workshop Series				IFAC Workshop on Modeling and Control in Environmental Issues	AUG 22-23, 2001	YOKOHAMA, JAPAN	Int Federat Automat Control, Soc Instrument & Control Engineers																					1369-4960		0-08-043909-8				2002							171	176										WOS:000178340600028						
J	Hertz, A; Mittaz, M				Hertz, A; Mittaz, M			A variable neighborhood descent algorithm for the undirected capacitated arc routing problem	TRANSPORTATION SCIENCE																													0041-1655					NOV	2001	35	4					425	434		10.1287/trsc.35.4.425.10431								WOS:000172770400007						
J	Ghiani, G; Improta, G				Ghiani, G; Improta, G			The laser-plotter beam routing problem	JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY					Annual Conference of the Operational-Research-Society	SEP 12-14, 2000	SWANSEA, WALES	Operat Res Soc									GHIANI, Gianpaolo/0000-0002-5243-1799												0160-5682					AUG	2001	52	8					945	951		10.1057/palgrave.jors.2601161								WOS:000170260700011						
