X,TI,AB,CARP..Yes.No.,Exact.Lower.Bounds,Heuristics,Evolutionary,Variant,Alt_variant,Investigate,Comments,Source,author,year,title,journal
"FENG L, 2015, IEEE TRANS EVOL COMPUT",MEMETIC SEARCH WITH INTERDOMAIN LEARNING: A REALIZATION BETWEEN CVRP AND CARP,"IN RECENT DECADES, A PLETHORA OF DEDICATED EVOLUTIONARY ALGORITHMS (EAS) HAVE BEEN CRAFTED TO SOLVE DOMAIN-SPECIFIC COMPLEX PROBLEMS MORE EFFICIENTLY. MANY ADVANCED EAS HAVE RELIED ON THE INCORPORATION OF DOMAIN-SPECIFIC KNOWLEDGE AS INDUCTIVE BIASES THAT IS DEEMED TO FIT THE PROBLEM OF INTEREST WELL. AS SUCH, THE EMBEDMENT OF DOMAIN KNOWLEDGE ABOUT THE UNDERLYING PROBLEM WITHIN THE SEARCH ALGORITHMS IS BECOMING AN ESTABLISHED MODE OF ENHANCING EVOLUTIONARY SEARCH PERFORMANCE. IN THIS PAPER, WE PRESENT A STUDY ON EVOLUTIONARY MEMETIC COMPUTING PARADIGM THAT IS CAPABLE OF LEARNING AND EVOLVING KNOWLEDGE MEME THAT TRAVERSES DIFFERENT BUT RELATED PROBLEM DOMAINS, FOR GREATER SEARCH EFFICIENCY. FOCUSING ON COMBINATORIAL OPTIMIZATION AS THE AREA OF STUDY, A REALIZATION OF THE PROPOSED APPROACH IS INVESTIGATED ON TWO NP-HARD PROBLEM DOMAINS (I.E., CAPACITATED VEHICLE ROUTING PROBLEM AND CAPACITATED ARC ROUTING PROBLEM). EMPIRICAL STUDIES ON WELL-ESTABLISHED ROUTING PROBLEMS AND THEIR RESPECTIVE STATE-OF-THE-ART OPTIMIZATION SOLVERS ARE PRESENTED TO STUDY THE POTENTIAL BENEFITS OF LEVERAGING KNOWLEDGE MEMES THAT ARE LEARNED FROM DIFFERENT BUT RELATED PROBLEM DOMAINS ON FUTURE EVOLUTIONARY SEARCH.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,FADZLI M;NAJWA N;LUIS M,2015,CAPACITATED ARC ROUTING PROBLEM AND ITS EXTENSIONS IN WASTE COLLECTION,"INTERNATIONAL CONFERENCE ON MATHEMATICS, ENGINEERING AND INDUSTRIAL APPLICATIONS 2014 (ICOMEIA 2014)"
"WOHLK S, 2006, COMPUT OPER RES",NEW LOWER BOUND FOR THE CAPACITATED ARC ROUTING PROBLEM,"WE PRESENT A NEW LOWER BOUND, THE MULTIPLE CUTS NODE DUPLICATION LOWER BOUND, FOR THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM. WE PROVE THAT THIS NEW BOUND DOMINATES THE EXISTING BOUNDS FOR THE PROBLEM. COMPUTATIONAL RESULTS ARE ALSO PROVIDED. (C) 2005 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,FADZLI M;NAJWA N;MASRAN H,2015,GENERAL HEURISTICS ALGORITHMS FOR SOLVING CAPACITATED ARC ROUTING PROBLEM,"INTERNATIONAL CONFERENCE ON MATHEMATICS, ENGINEERING AND INDUSTRIAL APPLICATIONS 2014 (ICOMEIA 2014)"
"SU Z, 2018, IFAC PAPERSONLINE",OPTIMAL SCHEDULING OF TRACK MAINTENANCE ACTIVITIES FOR RAILWAY NETWORKS,"WE CONSIDER OPTIMAL SCHEDULING OF TRACK MAINTENANCE ACTIVITIES FOR A RAILWAY NETWORK DIVIDED INTO SECTIONS. THE GOAL IS TO FIND AN OPTIMAL TIME SCHEDULE FOR THE MAINTENANCE ACTIVITIES AND OPTIMAL ROUTES FOR THE MAINTENANCE CREW (INCLUDING ALL NECESSARY EQUIPMENT AND TECHNICIANS) THAT MINIMIZE THE TOTAL SETUP COSTS AND THE TRAVEL COSTS OVER THE WHOLE PLANNING HORIZON. THE MAINTENANCE TIME BUDGET, WHICH CAN BE THE SAME, DIFFERENT, OR FLEXIBLE FOR EACH PERIOD, AND THE MINIMUM TIME TO MAINTAIN A SECTION ARE ALSO TAKEN INTO ACCOUNT. WE RECAST THE TRACK MAINTENANCE SCHEDULING PROBLEM WITH THREE DIFFERENT SETTINGS AS THREE VARIANTS OF THE CAPACITATED ARC ROUTING PROBLEM WITH FIXED COST (CARPF), WHICH ARE SOLVED BY TRANSFORMING THEM INTO THREE NODE ROUTING PROBLEMS. THE PROPOSED APPROACH IS DEMONSTRATED USING A CASE STUDY OF A PART OF THE DUTCH REGIONAL NETWORK. (C) 2018, IFAC (INTERNATIONAL FEDERATION OF AUTOMATIC CONTROL) HOSTING BY ELSEVIER LTD. ALL RIGHTS RESERVED.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,AVILA T;CORBERAN A;PLANA I;SANCHIS JM,2015,THE STACKER CRANE PROBLEM AND THE DIRECTED GENERAL ROUTING PROBLEM,NETWORKS
"LIU G, 2014, CAN J CIV ENG",OPTIMIZATION OF SNOW PLOWING COST AND TIME IN AN URBAN ENVIRONMENT: A CASE STUDY FOR THE CITY OF EDMONTON,"EACH WINTER, CANADIAN MUNICIPALITIES DEPLOY SIGNIFICANT CAPITAL FOR SNOW PLOWING. ANY IMPROVEMENTS TO SNOWPLOW OPERATIONS NOT ONLY RESULTS IN SIGNIFICANT CAPITAL SAVINGS FOR MUNICIPALITIES AND ROAD AGENCIES, BUT ALSO IMPROVES ROADWAY SAFETY AND USER MOBILITY. IN THE EXISTING RESEARCH, ROUTING SNOWPLOW OPERATIONS IS GENERALLY CONSIDERED A NETWORK OPTIMIZATION PROBLEM, HOWEVER, THE FORMULATIONS AND SOLUTIONS CAN BE VERY DIVERSE, AS EACH URBAN AREA HAS UNIQUE ENVIRONMENTAL CONDITIONS AND OPERATIONAL CONSTRAINTS. FOR A SPECIFIC DISTRICT AND DEPOT, THE PROBLEM IS DETERMINING A SET OF ROUTES THAT ENSURE THAT ALL ROAD LINKS ARE SERVICED, ALL OPERATIONAL CONSTRAINTS ARE SATISFIED, AND TOTAL OPERATIONAL COSTS ARE MINIMIZED. THIS STUDY USED A MATHEMATICAL OPTIMIZATION MODEL BASED ON THE CAPACITATED ARC ROUTING PROBLEM (CARP) TO MINIMIZE THE TOTAL TRAVEL DISTANCE FOR SNOWPLOW OPERATIONS IN THE CITY OF EDMONTON. DEPOT LOCATION AND ROUTE NUMBER ARE CRITICAL INPUT PARAMETERS TO THE OPERATION COST CONTROL. SENSITIVITY ANALYSES WERE CONDUCTED TO NOT ONLY DERIVE SNOWPLOW ROUTING STRATEGIES USING THE CARP METHODOLOGY, BUT ALSO DRAW USEFUL CONCLUSIONS FOR WINTER ROAD MAINTENANCE PLANNERS.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,LIU T;JIANG Z;GENG N,2014,A GENETIC LOCAL SEARCH ALGORITHM FOR THE MULTI-DEPOT HETEROGENEOUS FLEET CAPACITATED ARC ROUTING PROBLEM,FLEXIBLE SERVICES AND MANUFACTURING JOURNAL
"SHANG R, 2018, MEMET COMPUT",QUANTUM-INSPIRED IMMUNE CLONAL ALGORITHM FOR SOLVING LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,"IN THIS PAPER, WE PRESENT AN APPROACH TO LARGE-SCALE CARP CALLED QUANTUM-INSPIRED IMMUNE CLONAL ALGORITHM (QICA-CARP). THIS ALGORITHM COMBINES THE FEATURE OF ARTIFICIAL IMMUNE SYSTEM AND QUANTUM COMPUTATION GROUND ON THE QUBIT AND THE QUANTUM SUPERPOSITION. WE CALL AN ANTIBODY OF POPULATION QUANTUM BIT ENCODING, IN QICA-CARP. FOR THIS ENCODING, TO CONTROL THE POPULATION WITH A HIGH PROBABILITY EVOLUTION TOWARDS A GOOD SCHEMA WE USE THE INFORMATION ON THE CURRENT OPTIMAL ANTIBODY. THE MUTATION STRATEGY OF QUANTUM ROTATION GATE ACCELERATES THE CONVERGENCE OF THE ORIGINAL CLONE OPERATOR. MOREOVER, QUANTUM CROSSOVER OPERATOR ENHANCES THE EXCHANGE OF INFORMATION AND INCREASES THE DIVERSITY OF THE POPULATION. FURTHERMORE, IT AVOIDS FALLING INTO LOCAL OPTIMUM. WE ALSO USE THE REPAIR OPERATOR TO AMEND THE INFEASIBLE SOLUTIONS TO ENSURE THE DIVERSITY OF SOLUTIONS. THIS MAKES QICA-CARP APPROXIMATING THE OPTIMAL SOLUTION. WE DEMONSTRATE THE EFFECTIVENESS OF OUR APPROACH BY A SET OF EXPERIMENTS AND BY COMPARING THE RESULTS OF OUR APPROACH WITH ONES OBTAINED WITH THE RDG-MAENS AND RAM USING DIFFERENT TEST SETS. EXPERIMENTAL RESULTS SHOW THAT QICA-CARP OUTPERFORMS OTHER ALGORITHMS IN TERMS OF CONVERGENCE RATE AND THE QUALITY OF THE OBTAINED SOLUTIONS. ESPECIALLY, QICA-CARP CONVERGES TO A BETTER LOWER BOUND AT A FASTER RATE ILLUSTRATING THAT IT IS SUITABLE FOR SOLVING LARGE-SCALE CARP.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,BOSCO A;LAGANA D;MUSMANNO R;VOCATURO F,2014,A MATHEURISTIC ALGORITHM FOR THE MIXED CAPACITATED GENERAL ROUTING PROBLEM,NETWORKS
"PELIKAN J, 2014, MATHEMATICAL METHODS IN ECONOMICS (MME 2014)",RANDOMIZED HEURISTICS FOR CAPACITATED ARC ROUTING PROBLEM,"THIS PAPER ADDRESSES THE PROBLEM OF PROVIDING SERVICES OR GOODS TO THE EDGES OF THE GRAPH WHICH MODELS THE ROADS OR PATHS OF THE COMMUNICATION NETWORK. THE TASK IS TO SEARCH FOR A CLOSED PATH WHICH CONTAINS EITHER ALL EDGES OR A SET OF DESIRED EDGES, WHERE THE LENGTH OF THE PATH IS MINIMIZED. THERE ARE MANY MODIFICATIONS OF THE PROBLEM: POSTMAN PROBLEM, RURAL POSTMAN PROBLEM, WINDY POSTMAN PROBLEM, CAPACITATED POSTMAN PROBLEM. THOSE TASKS HAVE A NUMBER OF PRACTICAL APPLICATIONS, SUCH AS THE OPTIMIZATION OF MUNICIPAL WASTE COLLECTION, ROUTE OPTIMIZATION PROBLEM FOR CLEANING CITY STREETS, READING ENERGY METERS, DELIVERY OF MAIL, SCHOOL BUS ROUTES. THIS ARTICLE OUTLINES THE TASKS, MODELS AND SOLUTION METHODS.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,RIQUELME RODRIGUEZ JP;GAMACHE M;LANGEVIN A,2014,PERIODIC CAPACITATED ARC-ROUTING PROBLEM WITH INVENTORY CONSTRAINTS,JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY
"WANG Z, 2015, APPL SOFT COMPUT",RANK-BASED MEMETIC ALGORITHM FOR CAPACITATED ARC ROUTING PROBLEMS,"THE CAPACITATED ARC ROUTING PROBLEM (CARP) HAS GARNERED MUCH ATTENTION RECENTLY, OWING TO ITS WIDE RANGE OF APPLICATIONS IN THE REAL WORLD. THIS STUDY DESCRIBES AN EFFICIENT MEMETIC ALGORITHM FOR SOLVING CARP. FIRST, THE CONCEPTS OF RANK NUMBER (RANKNO), AND RANK COUNT (RANKCOUNT) ARE PROPOSED, TO SHED LIGHT ONTO THE EDGE SELECTION RULES. THEN, THE ESSENTIAL BACKBONE OF THE ALGORITHM, THE RANK-BASED NEIGHBORHOOD SEARCH (RENS) OPERATOR, IS INTRODUCED. BASED ON THESE ABOVE-MENTIONED CONCEPTS, METHODS RELATING TO SELECTION AND EVALUATION OF EDGE(S) ARE DESIGNED TO MAKE LOCAL SEARCH MORE EFFECTIVE. TWO RULES, NAMELY MAPPING RULE (MAR) AND MOVE RULE (MOR), ARE CONSTRUCTED EXPLAIN THE WORKING OF THE RENS OPERATOR. FINALLY, THIS ALGORITHM IS TESTED ON SEVEN FAMOUS BENCHMARK SETS. THE EXPERIMENTAL RESULTS SHOW THAT IT HAS THE BETTER PERFORMANCE THAN TWO COMPARED STATE-OF-THE-ART ALGORITHMS. (C) 2015 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,BODE C;IRNICH S,2014,"THE SHORTEST-PATH PROBLEM WITH RESOURCE CONSTRAINTS WITH (K, 2)-LOOP ELIMINATION AND ITS APPLICATION TO THE CAPACITATED ARC-ROUTING PROBLEM",EUROPEAN JOURNAL OF OPERATIONAL RESEARCH
"PORUMBEL D, 2016, MATH PROGRAM",RAY PROJECTION FOR OPTIMIZING POLYTOPES WITH PROHIBITIVELY MANY CONSTRAINTS IN SET-COVERING COLUMN GENERATION,"A RECURRENT TASK IN MATHEMATICAL PROGRAMMING CONSISTS OF OPTIMIZING POLYTOPES WITH PROHIBITIVELY MANY CONSTRAINTS, E.G., THE PRIMAL POLYTOPE IN CUTTING-PLANES METHODS OR THE DUAL POLYTOPE IN COLUMN GENERATION (CG). WE PRESENT A METHOD TO OPTIMIZE SUCH POLYTOPES USING THE FOLLOWING INTERSECTION SUB-PROBLEM: GIVEN RAY , FIND THE MAXIMUM SUCH THAT IS FEASIBLE. WE INTERPRET AS A DIRECTION OF GROWTH FROM THE ORIGIN , IS THE INTERSECTION POINT BETWEEN AND THE POLYTOPE BOUNDARY. TO EASE THE EXPOSITION, THE FIRST PART OF THE PAPER IS DEVOTED TO THE GENERAL CONTEXT OF A (PRIMAL OR DUAL) POLYTOPE WITH RATIONAL DATA SUCH THAT: (I) THE INTERSECTION SUB-PROBLEM CAN BE EFFECTIVELY SOLVED IN PRACTICE FOR INPUT RAYS AND (II) IS FEASIBLE. BY ITERATING OVER SUCH RAYS , OUR METHOD PRODUCES A SEQUENCE OF FEASIBLE SOLUTIONS THAT WE PROVE TO BE FINITELY CONVERGENT. FROM SECTION 3 ON, WE FOCUS ON DUAL POLYTOPES IN CG FORMULATIONS. TYPICALLY, IF THE CG (SEPARATION) SUB-PROBLEM CAN BE SOLVED BY DYNAMIC PROGRAMMING (DP), SO CAN BE THE INTERSECTION SUB-PROBLEM. THE PROPOSED INTEGER RAY METHOD (IRM) ONLY USES INTEGER RAYS, AND SO, THE INTERSECTION SUB-PROBLEM CAN BE SOLVED USING A DP SCHEME BASED ON STATES INDEXED BY INTEGER RAY VALUES. WE SHOW THAT UNDER SUCH CONDITIONS, THE INTERSECTION SUB-PROBLEM CAN BE EVEN EASIER THAN THE CG SUB-PROBLEM, ESPECIALLY WHEN NO OTHER INTEGER DATA IS AVAILABLE TO INDEX STATES IN DP, I.E., IF THE CG SUB-PROBLEM INPUT CONSISTS OF FRACTIONAL (OR LARGE-RANGE) VALUES. AS SUCH, THE IRM CAN TACKLE SCALED INSTANCES (WITH LARGE-RANGE WEIGHTS) OF CAPACITATED PROBLEMS THAT SEEM PROHIBITIVELY HARD FOR CLASSICAL CG. THIS IS CONFIRMED BY NUMERICAL EXPERIMENTS ON VARIOUS CAPACITATED SET-COVERING PROBLEMS: CAPACITATED ARC-ROUTING, CUTTING-STOCK AND OTHER THREE VERSIONS OF ELASTIC CUTTING-STOCK (I.E., A PROBLEM CLASS THAT INCLUDES VARIABLE SIZE BIN PACKING).",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,RIQUELME RODRIGUEZ JP;LANGEVIN A;GAMACHE M,2014,ADAPTIVE LARGE NEIGHBORHOOD SEARCH FOR THE PERIODIC CAPACITATED ARC ROUTING PROBLEM WITH INVENTORY CONSTRAINTS,NETWORKS
"HERTZ A, 2005, GRAPH THEORY, COMBINATORICS AND ALGORITHMS: INTERDISCIPLINARY APPLICATIONS",RECENT TRENDS IN ARC ROUTING,"ARC ROUTING PROBLEMS (ARPS) ARISE NATURALLY IN SEVERAL APPLICATIONS WHERE STREETS REQUIRE MAINTENANCE, OR CUSTOMERS LOCATED ALONG ROAD MUST BE SERVICED. THE UNDIRECTED RURAL POSTMAN PROBLEM (URPP) IS TO DETERMINE A LEAST COST TOUR TRAVERSING AT LEAST ONCE EACH EDGE THAT REQUIRES A SERVICE. WHEN DEMANDS ARE PUT ON THE EDGES AND THIS TOTAL DEMAND MUST BE COVERED BY A FLEET OF IDENTICAL VEHICLES OF CAPACITY Q BASED AT A DEPOT, ONE GETS THE UNDIRECTED CAPACITATED ARC ROUTING PROBLEM (UCARP). THE URPP AND UCARP ARE KNOWN TO BE NP-HARD. THIS CHAPTER REPORTS ON RECENT EXACT AND HEURISTIC ALGORITHMS FOR THE URPP AND UCARP.",1,1,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,Review,,,SHANG R;WANG Y;WANG J;JIAO L;WANG S;QI L,2014,A MULTI-POPULATION COOPERATIVE COEVOLUTIONARY ALGORITHM FOR MULTI-OBJECTIVE CAPACITATED ARC ROUTING PROBLEM,INFORMATION SCIENCES
"LONGO H, 2006, COMPUT OPER RES",SOLVING CAPACITATED ARC ROUTING PROBLEMS USING A TRANSFORMATION TO THE CVRP,"A WELL-KNOWN TRANSFORMATION BY PEARN, ASSAD AND GOLDEN REDUCES A CAPACITATED ARC ROUTING PROBLEM (CARP) INTO AN EQUIVALENT CAPACITATED VEHICLE ROUTING PROBLEM (CVRP). HOWEVER, THAT TRANSFORMATION IS REGARDED AS UNPRACTICAL, SINCE AN ORIGINAL INSTANCE WITH R REQUIRED EDGES IS TURNED INTO A CVRP OVER A COMPLETE GRAPH WITH 3R + 1 VERTICES. WE PROPOSE A SIMILAR TRANSFORMATION THAT REDUCES THIS GRAPH TO 2R + 1 VERTICES, WITH THE ADDITIONAL RESTRICTION THAT A PREVIOUSLY KNOWN SET OF R PAIRWISE DISCONNECTED EDGES MUST BELONG TO EVERY SOLUTION. USING A RECENT BRANCH-AND-CUT-AND-PRICE ALGORITHM FOR THE CVRP, WE OBSERVED THAT IT YIELDS AN EFFECTIVE WAY OF ATTACKING THE CARP, BEING SIGNIFICANTLY BETTER THAN THE EXACT METHODS CREATED SPECIFICALLY FOR THAT PROBLEM. COMPUTATIONAL EXPERIMENTS OBTAINED IMPROVED LOWER BOUNDS FOR ALMOST ALL OPEN INSTANCES FROM THE LITERATURE. SEVERAL SUCH INSTANCES COULD BE SOLVED TO OPTIMALITY. SCOPE AND PURPOSE THE SCOPE OF THIS PAPER IS TRANSFORMING ARC ROUTING PROBLEMS INTO NODE ROUTING PROBLEMS. THE PAPER SHOWS THAT THIS APPROACH CAN BE EFFECTIVE AND, IN PARTICULAR, THAT THE ORIGINAL INSTANCES MAY GENERATE NODE ROUTING INSTANCES THAT BEHAVE AS IF THE SIZE IS NOT INCREASED. THIS RESULT IS OBTAINED BY SLIGHTLY MODIFYING THE WELL-KNOWN TRANSFORMATION BY PEARN, ASSAD AND GOLDEN FROM CAPACITATED ARC ROUTING PROBLEM (CARP) TO THE CAPACITATED VEHICLE ROUTING PROBLEM (CVRP), THAT IS REGARDED AS UNPRACTICAL. THE PAPER PROVIDES A COMPUTATIONAL EXPERIENCE USING A RECENT BRANCH-AND-CUT-AND-PRICE ALGORITHM FOR THE CVRP. THE RESULTS ARE SIGNIFICANTLY BETTER THAN THE EXACT METHODS CREATED SPECIFICALLY FOR THAT PROBLEM, IMPROVING LOWER BOUNDS FOR ALMOST ALL OPEN INSTANCES FROM THE LITERATURE. SEVERAL SUCH INSTANCES COULD BE SOLVED TO OPTIMALITY. (C) 2004 ELSEVIER LTD. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,VAN BEVERN R;HARTUNG S;NICHTERLEIN A;SORGE M,2014,CONSTANT-FACTOR APPROXIMATIONS FOR CAPACITATED ARC ROUTING WITHOUT TRIANGLE INEQUALITY,OPERATIONS RESEARCH LETTERS
"BODE C, 2014, EUR J OPER RES","THE SHORTEST-PATH PROBLEM WITH RESOURCE CONSTRAINTS WITH (K, 2)-LOOP ELIMINATION AND ITS APPLICATION TO THE CAPACITATED ARC-ROUTING PROBLEM","IN MANY BRANCH-AND-PRICE ALGORITHMS, THE COLUMN GENERATION SUBPROBLEM CONSISTS OF COMPUTING FEASIBLE CONSTRAINED PATHS. IN THE CAPACITATED ARC-ROUTING PROBLEM (CARP), ELEMENTARITY CONSTRAINTS CONCERNING THE EDGES TO BE SERVICED AND ADDITIONAL CONSTRAINTS RESULTING FROM THE BRANCH-AND-BOUND PROCESS TOGETHER IMPOSE TWO TYPES OF LOOP-ELIMINATION CONSTRAINTS. TO FULFILL THE FORMER CONSTRAINTS, IT IS COMMON PRACTICE TO RELY ON A RELAXATION WHERE LOOPS ARE ALLOWED. IN A K-LOOP ELIMINATION APPROACH ALL LOOPS OF LENGTH K AND SMALLER ARE FORBIDDEN. FOLLOWING BODE AND IRNICH (2012) FOR SOLVING THE CARP, BRANCHING ON FOLLOWERS AND NON-FOLLOWERS IS THE ONLY KNOWN APPROACH TO GUARANTEE INTEGER SOLUTIONS WITHIN BRANCH-AND-PRICE. HOWEVER, IT COMES AT THE COST OF ADDITIONAL TASK-2-LOOP ELIMINATION CONSTRAINTS. IN THIS PAPER, WE SHOW THAT A COMBINED (K,2)-LOOP ELIMINATION IN THE SHORTEST-PATH SUBPROBLEM CAN BE ACCOMPLISHED IN A COMPUTATIONALLY EFFICIENT WAY. OVERALL, THE IMPROVED BRANCH-AND-PRICE OFTEN ALLOWS THE COMPUTATION OF TIGHTER LOWER BOUNDS AND INTEGER OPTIMAL SOLUTIONS FOR SEVERAL INSTANCES FROM STANDARD BENCHMARK SETS. (C) 2014 ELSEVIER B.V. ALL RIGHTS RESERVED.",1,1,0,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,MEI Y;LI X;YAO X,2014,COOPERATIVE COEVOLUTION WITH ROUTE DISTANCE GROUPING FOR LARGE-SCALE CAPACITATED ARC ROUTING PROBLEMS,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION
"FENG L, 2010, 2010 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",TOWARDS PROBABILISTIC MEMETIC ALGORITHM: AN INITIAL STUDY ON CAPACITATED ARC ROUTING PROBLEM,"CAPACITATED ARC ROUTING PROBLEM (CARP) HAS ATTRACTED MUCH ATTENTION DUE TO ITS GENERALITY TO MANY REAL WORLD PROBLEMS. MEMETIC ALGORITHM (MA), AMONG OTHER METAHEURISTIC SEARCH METHODS, HAS BEEN SHOWN TO ACHIEVE COMPETITIVE PERFORMANCES IN SOLVING CARP RANGING FROM SMALL TO MEDIUM SIZE. IN THIS PAPER WE PROPOSE A FORMAL PROBABILISTIC MEMETIC ALGORITHM FOR CARP THAT IS EQUIPPED WITH AN ADAPTATION MECHANISM TO CONTROL THE DEGREE OF GLOBAL EXPLORATION AGAINST LOCAL EXPLOITATION WHILE THE SEARCH PROGRESSES. EXPERIMENTAL STUDY ON BENCHMARK INSTANCES OF CARP SHOWED THAT THE PROPOSED PROBABILISTIC SCHEME LED TO IMPROVED SEARCH PERFORMANCES WHEN INTRODUCED INTO A RECENTLY PROPOSED STATE-OF-THE-ART MA. THE RESULTS OBTAINED ON 24 INSTANCES OF THE CAPACITATED ARC ROUTING PROBLEMS HIGHLIGHTED THE EFFICACY OF THE PROBABILISTIC SCHEME WITH 9 NEW BEST KNOWN SOLUTIONS ESTABLISHED.",1,0,1,1,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,LIU M;SINGH HK;RAY T,2014,APPLICATION SPECIFIC INSTANCE GENERATOR AND A MEMETIC ALGORITHM FOR CAPACITATED ARC ROUTING PROBLEMS,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES
"LI M, 2018, COMPUT IND ENG",UNMANNED AERIAL VEHICLE SCHEDULING PROBLEM FOR TRAFFIC MONITORING,"FOR MORE ACCURATE MULTIPLE-PERIOD REAL-TIME MONITORING OF ROAD TRAFFIC, THIS PAPER INVESTIGATES THE UNMANNED AERIAL VEHICLE SCHEDULING PROBLEM WITH UNCERTAIN DEMANDS. A MIXED INTEGER PROGRAMMING MODEL IS DESIGNED FOR THIS PROBLEM BY COMBINING THE CAPACITATED ARC ROUTING PROBLEM WITH THE INVENTORY ROUTING PROBLEM. A LOCAL BRANCHING BASED SOLUTION METHOD IS DEVELOPED TO SOLVE THE MODEL. A CASE STUDY WHICH APPLIES THIS MODEL TO THE ROAD TRAFFIC IN SHANGHAI IS PERFORMED. IN ADDITION, NUMERICAL EXPERIMENTS ARE CONDUCTED TO VALIDATE THE EFFECTIVENESS OF THE PROPOSED MODEL AND THE EFFICIENCY OF THE PROPOSED SOLUTION METHOD.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,SHANG R;WANG J;JIAO L;WANG Y,2014,AN IMPROVED DECOMPOSITION-BASED MEMETIC ALGORITHM FOR MULTI-OBJECTIVE CAPACITATED ARC ROUTING PROBLEM,APPLIED SOFT COMPUTING
"MEI Y, 2014, 2014 IEEE CONGRESS ON EVOLUTIONARY COMPUTATION (CEC)",VARIABLE NEIGHBORHOOD DECOMPOSITION FOR LARGE SCALE CAPACITATED ARC ROUTING PROBLEM,"IN THIS PAPER, A VARIABLE NEIGHBORHOOD DECOMPOSITION (VND) IS PROPOSED FOR LARGE SCALE CAPACITATED ARC ROUTING PROBLEMS (LSCARP). THE VND EMPLOYS THE ROUTE DISTANCE GROUPING (RDG) SCHEME, WHICH IS A COMPETITIVE DECOMPOSITION SCHEME FOR LSCARP, AND GENERATES DIFFERENT NEIGHBORHOOD STRUCTURES WITH DIFFERENT TRADEOFFS BETWEEN EXPLORATION AND EXPLOITATION. THE SEARCH FIRST USES A NEIGHBORHOOD STRUCTURE THAT IS CONSIDERED TO BE THE MOST PROMISING, AND THEN BROADENS THE NEIGHBORHOOD GRADUALLY AS IT IS GETTING STUCK IN A LOCAL OPTIMUM. THE EXPERIMENTAL STUDIES SHOW THAT THE VND PERFORMED BETTER THAN THE STATE-OF-THE-ART RDG-MAENS COUNTERPART, AND THE IMPROVEMENT IS MORE SIGNIFICANT WHEN THE SUBCOMPONENT SIZE IS SMALLER. THIS IMPLIES A GREAT POTENTIAL OF COMBINING THE VND WITH SMALL SUBCOMPONENTS.",1,0,1,0,Capacitated Arc Routing Problem,Capacitated Arc Routing Problem,,,,CHEN L;MINH HOANG HA MHH;LANGEVIN A;GENDREAU M,2014,OPTIMIZING ROAD NETWORK DAILY MAINTENANCE OPERATIONS WITH STOCHASTIC SERVICE AND TRAVEL TIMES,TRANSPORTATION RESEARCH PART E-LOGISTICS AND TRANSPORTATION REVIEW
